burst_name,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
strong,0.9,0.01,0.1,0.005,0.7,10,20.0,0.27774220512409953,2.0242764709304475,4.410320871438469,8.92770876930636,102.34346220793667,50.55804564131255,10.111609128262517,1.0108740023414107,1.012862669973603,7.86465419942247,92862
strong,0.9,0.01,0.1,0.005,0.7,10,26.447523,0.27892973676858446,2.034363872132934,4.392170250634441,8.93527247814776,102.68435049511535,50.474918426198606,10.094983685239724,1.0909959341655824,0.8265760294449813,7.987444351149714,92862
strong,0.9,0.01,0.1,0.005,0.7,10,34.973572,0.2799208743010868,2.044401683148568,4.383329723131259,8.961286663764692,103.04916836052955,50.405538798923445,10.0811077597847,1.1738259035742558,0.6724638029574207,8.072602533683623,92862
strong,0.9,0.01,0.1,0.005,0.7,10,46.248217,0.28074781349819167,2.054368285741424,4.382160086752139,9.002570705265482,103.43262169796338,50.3476530551261,10.069530611025233,1.2586380016701326,0.5452207198562637,8.126610667448372,92862
strong,0.9,0.01,0.1,0.005,0.7,10,61.157538,0.28143750152264124,2.0642080948041563,4.387141626395078,9.05597325825699,103.82837681857544,50.29937489341464,10.059874978682938,1.3444495952142155,0.4403765851961405,8.155298840906706,92862
strong,0.9,0.01,0.1,0.005,0.7,10,80.873269,0.2820122474364678,2.0738378147357777,4.396870065341091,9.118395407984123,104.22931062483757,50.259142679446775,10.051828535889355,1.4300761596065907,0.3542011894627571,8.163894115041298,92862
strong,0.9,0.01,0.1,0.005,0.7,10,106.94488,0.2824905010342931,2.0831484604930717,4.410027116313574,9.186741198081323,104.62751657116874,50.225664927599006,10.045132985519801,1.514139783377869,0.2835777641693225,8.157149466933006,92862
strong,0.9,0.01,0.1,0.005,0.7,10,141.421356,0.28288751105815335,2.092006591308271,4.425353521044302,9.257868734893945,105.01428375030657,50.197874225928786,10.039574845185747,1.595071236700611,0.22589538085655736,8.139458537257084,92862
strong,0.9,0.01,0.1,0.005,0.7,10,187.012225,0.2832158449596234,2.1002620776074092,4.441654349572723,9.328638192247594,105.38042050628108,50.17489085282588,10.03497817056518,1.6711790383741472,0.17896945828552416,8.114873332775149,92862
strong,0.9,0.01,0.1,0.005,0.7,10,247.300502,0.2834858709148895,2.107766802899667,4.4578489389782305,9.396106005919817,105.71712865659038,50.155989035957255,10.03119780719145,1.7408274817670193,0.14097767095601052,8.086997040085521,92862
strong,0.9,0.01,0.1,0.005,0.7,10,327.02428,0.2837062573406952,2.1144006974557508,4.47304860440021,9.457817088897277,106.01723923434068,50.14056198615086,10.02811239723016,1.8026866988069579,0.11039931322665725,8.058801590736223,92862
