burst_name,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
strong,0.9,0.01,1.0,0.005,0.7,4,5.0,0.23046230321390093,1.8586891540891612,4.7202797212430845,8.77353272214153,100.12319594753436,53.86763877502642,10.773527755005276,0.0710892301030855,2.8499770696226907,6.305405945268948,92862
strong,0.9,0.01,1.0,0.005,0.7,6,5.0,0.23042822981135125,1.858529843625318,4.720476828871455,8.773147062599401,100.11904711950083,53.870023913204896,10.774004782640985,0.07109040778518336,2.8500538112622302,6.304850998311602,92862
strong,0.9,0.01,1.0,0.005,0.7,7,5.0,0.2304002134912757,1.8583988543214833,4.720643153319722,8.772837827789926,100.11563530737004,53.87198505561019,10.77439701112203,0.07109180988427685,2.850135053273098,6.304376125720596,92862
strong,0.9,0.01,1.0,0.005,0.7,9,5.0,0.23032002049932698,1.8580237246180469,4.721132302841721,8.771975825740553,100.10585635930381,53.8775985650466,10.77551971300931,0.07109701163957616,2.850423545171874,6.30295973017924,92862
strong,0.9,0.01,1.0,0.005,0.7,10,5.0,0.23026700001339817,1.857775383369519,4.721463471593292,8.771418611004409,100.09937133995858,53.881309999061614,10.776261999812329,0.07110109664347217,2.8506476168406145,6.301989286703584,92862
strong,0.9,0.01,1.0,0.005,0.7,11,5.0,0.23020489635477226,1.8574840693191061,4.721857545916851,8.770775169134762,100.09174991625929,53.88565725516543,10.777131451033082,0.0711063538270055,2.850936645768197,6.300825549371716,92862
strong,0.9,0.01,1.0,0.005,0.7,13,5.0,0.2300523697842668,1.8567663774950145,4.722849018523379,8.76922726357954,100.07290105515669,53.89633411510081,10.779266823020155,0.07112093629809195,2.8517484475012185,6.297863793180534,92862
strong,0.9,0.01,1.0,0.005,0.7,14,5.0,0.22996153991141732,1.8563374124419558,4.7234535593855265,8.768323558219475,100.06158417371299,53.90269220620027,10.780538441240065,0.07113054881187635,2.85229290789314,6.2960381020549185,92862
strong,0.9,0.01,1.0,0.005,0.7,16,5.0,0.2297500876889086,1.855334232633261,4.724898274607042,8.766265514588275,100.03497209954651,53.91749386177588,10.783498772355182,0.07115519381731625,2.8537221678702163,6.291623865957284,92862
strong,0.9,0.01,1.0,0.005,0.7,17,5.0,0.2296293372801117,1.8547586250991688,4.725745983104206,8.765118122190277,100.01961418421433,53.925946390391665,10.785189278078342,0.07117057029951393,2.854636803868559,6.289003347753585,92862
strong,0.9,0.01,1.0,0.005,0.7,19,5.0,0.2293578033476512,1.8534576386353712,4.727712310052695,8.762614494337644,99.98468662280169,53.944953765663904,10.788990753132786,0.07120839383636227,2.856954424770976,6.282846428259875,92862
strong,0.9,0.01,1.0,0.005,0.7,20,5.0,0.22920717855907513,1.852732441756616,4.72883941683779,8.76127419943281,99.96510063096918,53.955497500864226,10.791099500172848,0.07123126211878049,2.8583980390418997,6.279271198666471,92862
strong,0.9,0.01,10.0,0.005,0.7,0,5.0,0.22703659109878782,1.8418671127124762,4.730907113062089,8.713702224846585,99.65871175296786,54.107438623084334,10.821487724616855,0.007288756793774892,2.923487648196363,6.247735870393007,92862
strong,0.9,0.01,10.0,0.005,0.7,1,5.0,0.22703659109368657,1.8418671126641721,4.730907113088673,8.713702224667028,99.65871175101196,54.107438623441425,10.821487724688271,0.007288756793693437,2.923487648195312,6.247735870322723,92862
strong,0.9,0.01,10.0,0.005,0.7,3,5.0,0.22703640993242913,1.841865463195714,4.730908772667002,8.713697477904974,99.65864585972504,54.107451304729445,10.821490260945875,0.007288756401468519,2.923490778431242,6.247730204221414,92862
strong,0.9,0.01,10.0,0.005,0.7,4,5.0,0.22703497624957147,1.8418526592140423,4.730925933093858,8.713668510413598,99.6581379131911,54.10755166252948,10.82151033250589,0.007288774617400845,2.923533365239478,6.2476675276372315,92862
strong,0.9,0.01,10.0,0.005,0.7,6,5.0,0.22702658031362177,1.8417796678023681,4.731063890370947,8.713577280359184,99.65527096910172,54.10813937804596,10.821627875609183,0.007289098270399336,2.923948465927716,6.247134560192701,92862
