sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
sigma,0.6,0.6812920690579608,0.1,0.005,0.7,10,5.0,0.01944597237443102,1.3092661740010247,6.377073094495565,8.349286091755085,89.86643541054364,68.63878193378982,13.727756386758019,0.824478848201541,4.014946233201549,1.4328185318388913,92862
sigma,0.6,1.0,0.1,0.005,0.7,10,5.0,0.011122695081568712,1.2539759469663032,6.374714809962361,7.993739040462669,86.80198484080029,69.22141134429019,13.844282268858022,0.7660132935536339,3.90772507583217,1.4819793617561743,92862
sigma,0.6,1.467799267622069,0.1,0.005,0.7,10,5.0,0.005948918340993314,1.208514844113588,6.357734229370758,7.683416191123624,84.09278415944547,69.58357571613048,13.916715143226076,0.7115918744823727,3.8024334488214575,1.5692595334700932,92862
sigma,0.6,2.154434690031882,0.1,0.005,0.7,10,5.0,0.0030314273194775865,1.172675510795084,6.330681527653198,7.4238351941217156,81.83844411503438,69.78780008763654,13.957560017527278,0.6622950863024665,3.6965991352168146,1.6835457609534403,92862
sigma,0.6,3.1622776601683795,0.1,0.005,0.7,10,5.0,0.0015133133340581306,1.1454864292947597,6.298302800141502,7.214620385151276,80.06270645851276,69.89406806661592,13.978813613323132,0.6187637559682528,3.590198329854991,1.8122243008536247,92862
sigma,0.6,4.6415888336127775,0.1,0.005,0.7,10,5.0,0.0007661631320088347,1.1255367313976223,6.264838538368297,7.05130589120891,78.72720706552128,69.9463685807594,13.98927371615191,0.5814346783231078,3.4866375703210286,1.9426540352039536,92862
sigma,0.6,6.812920690579608,0.1,0.005,0.7,10,5.0,0.0004076077494002961,1.111281671164311,6.2335160915259005,6.927192179420527,77.75800929003647,69.97146745754199,13.994293491508419,0.5504785046773957,3.3910168821034725,2.064211121710713,92862
sigma,0.6,10.0,0.1,0.005,0.7,10,5.0,0.000234479272302468,1.1012872441731698,6.206324354879241,6.834945845229785,77.07203105990921,69.98358645093883,13.99671729018775,0.5256933577302403,3.3077486367849147,2.169840715297095,92862
sigma,0.6,0.001,1.0,0.005,0.7,10,5.0,0.08634838213498097,1.615560050211482,5.20104387102757,8.402598697429422,103.32413375440471,63.95561325057478,12.791122650114959,0.0414190259221119,1.6679293742182775,5.499528949744652,92862
sigma,0.6,0.0014677992676220691,1.0,0.005,0.7,10,5.0,0.08618476629090643,1.6149617342444447,5.216124055569471,8.423840750816638,103.30436442270015,63.967066359643994,12.793413271928816,0.0429269020390284,1.7284468897327874,5.435212936299367,92862
sigma,0.6,0.0021544346900318843,1.0,0.005,0.7,10,5.0,0.08594114990958501,1.6140591944589138,5.2377313912953465,8.454008510226332,103.27415638853027,63.98411950631785,12.796823901263599,0.04508083935481492,1.8149549041510902,5.343140355230497,92862
sigma,0.6,0.0031622776601683794,1.0,0.005,0.7,10,5.0,0.0855766488159806,1.612685199214164,5.268354037430767,8.496196580384781,103.22739029893648,64.00963458289166,12.801926916578319,0.04811963094025331,1.93713112618905,5.212822326292377,92862
sigma,0.6,0.004641588833612777,1.0,0.005,0.7,10,5.0,0.08502829843295656,1.610571717919571,5.311078012515789,8.553872038622416,103.15392816685336,64.04801910969896,12.809603821939819,0.052330554799206244,2.10670747357772,5.031358149683255,92862
sigma,0.6,0.006812920690579608,1.0,0.005,0.7,10,5.0,0.08419917898467966,1.6072879522667405,5.3693748746824745,8.63013154728088,103.03689384056686,64.106057471068,12.821211494213564,0.05801772956182994,2.336304551338735,4.784466224885871,92862
sigma,0.6,0.01,1.0,0.005,0.7,10,5.0,0.08294209513949913,1.602150072443418,5.446493413677611,8.726099817286181,102.84850720949906,64.19405334023807,12.83881066804759,0.06542416088157219,2.6364842221076663,4.459280948963173,92862
sigma,0.6,0.01467799267622069,1.0,0.005,0.7,10,5.0,0.08104126874135853,1.5941113209904372,5.544298391200099,8.838228832361146,102.54457619156568,64.32711118810305,12.865422237620535,0.07459170017234022,3.0104081372623304,4.049577924944794,92862
sigma,0.6,0.021544346900318832,1.0,0.005,0.7,10,5.0,0.07820162843766465,1.5816785445505006,5.661660406469059,8.954926791443176,102.05920946912387,64.52588600936495,12.90517720187305,0.08517586814777083,3.4467589552752393,3.5628879747039397,92862
sigma,0.6,0.03162277660168379,1.0,0.005,0.7,10,5.0,0.07406616351837103,1.5629608182596177,5.7931062245396285,9.054398044971343,101.30388147051082,64.81536855371354,12.96307371074276,0.09630527554779225,3.9143966579521345,3.0262243557573125,92862
sigma,0.6,0.046415888336127774,1.0,0.005,0.7,10,5.0,0.06828774524839842,1.5359888165994764,5.9290393109469,9.106938074793103,100.17697225110003,65.21985783261215,13.043971566522453,0.1066455148457275,4.364905494503658,2.484477424128162,92862
sigma,0.6,0.06812920690579612,1.0,0.005,0.7,10,5.0,0.06066565213023711,1.4993507501606533,6.058367603209919,9.083618010621791,98.58741613911316,65.75340435088297,13.15068087017661,0.1147685742679036,4.746812423921805,1.9877381316336828,92862
sigma,0.6,0.1,1.0,0.005,0.7,10,5.0,0.051313224524376255,1.4529491608668048,6.172286597142855,8.968018631948137,96.48755580469238,66.40807428329394,13.281614856658788,0.11967680058415085,5.025395676421865,1.5733126663351964,92862
sigma,0.6,0.1467799267622069,1.0,0.005,0.7,10,5.0,0.04077740255474738,1.398484757980678,6.26639153412399,8.763453048011558,93.90207274264752,67.1455818211677,13.429116364233526,0.1211285708468989,5.194294215261679,1.2554608496578963,92862
sigma,0.6,0.21544346900318823,1.0,0.005,0.7,10,5.0,0.03001575872408213,1.3393375873380133,6.339946473984679,8.491328614318785,90.93954474264653,67.89889688931413,13.579779377862868,0.11957585504568043,5.271835795856708,1.028808971234743,92862
sigma,0.6,0.31622776601683794,1.0,0.005,0.7,10,5.0,0.020173292619098948,1.2798154865425655,6.394016868883612,8.18316181001165,87.77981759638608,68.58786951666302,13.717573903332664,0.11585498930188534,5.288066181848657,0.8785049255167943,92862
sigma,0.6,0.46415888336127775,1.0,0.005,0.7,10,5.0,0.012212367354566656,1.2241005048214473,6.430356773963718,7.8714029731910005,84.64059378443606,69.14513428518038,13.8290268570361,0.11086252661745163,5.27172173829129,0.7883888780551587,92862
sigma,0.6,0.6812920690579608,1.0,0.005,0.7,10,5.0,0.006583525537290358,1.17538528246374,6.451205693692224,7.582652226512123,81.73529724083392,69.53915321238966,13.907830642478006,0.10534052036879622,5.24200577993991,0.7448230572132886,92862
sigma,0.6,1.0,1.0,0.005,0.7,10,5.0,0.0031381803337087177,1.1354693597322534,6.4592533892540125,7.334284310244641,79.2334236482609,69.78032737664039,13.956065475328087,0.09979814703343794,5.206525987723316,0.7376103899151598,92862
sigma,0.6,1.467799267622069,1.0,0.005,0.7,10,5.0,0.0013232246025930428,1.1047483722985088,6.45734942867808,7.1337462706948145,77.23005794508263,69.9073742778185,13.9814748555637,0.0945367415457616,5.164506039314438,0.7594823635761001,92862
sigma,0.6,2.154434690031882,1.0,0.005,0.7,10,5.0,0.0004993001022597365,1.0824522933210372,6.448115252618366,6.979777142795109,75.73382773462032,69.96504899284179,13.993009798568337,0.08971619098486971,5.112381576440906,0.804892434005887,92862
sigma,0.6,3.1622776601683795,1.0,0.005,0.7,10,5.0,0.0001730322606471324,1.0670689709024792,6.4337917853021365,6.8652995793431755,74.68190334823241,69.98788774175469,13.997577548350865,0.0854146119789587,5.048444034529008,0.8685638051411688,92862
sigma,0.6,4.6415888336127775,1.0,0.005,0.7,10,5.0,5.73862546335846e-05,1.056850113016195,6.416371139579816,6.78114256401878,73.975262504255,69.99598296217566,13.999196592435188,0.08166650187107596,4.974769195979163,0.9443677097145731,92862
sigma,0.6,6.812920690579608,1.0,0.005,0.7,10,5.0,1.920722039583378e-05,1.0502169928393064,6.397746388284137,6.7190219728523,73.51377747630431,69.9986554945723,13.999731098914472,0.07848241364837971,4.896624252312869,1.025162235124279,92862
sigma,0.6,10.0,1.0,0.005,0.7,10,5.0,6.865705165837177e-06,1.0459522407897617,6.3796460349100395,6.672805065659674,73.21615417130413,69.99951940063839,13.999903880127718,0.07585438784375462,4.820479995913458,1.103761736115069,92862
sigma,0.6,0.001,10.0,0.005,0.7,10,5.0,0.08610618457671126,1.6113630496074596,5.265634812900366,8.484849370234338,103.0830307806885,63.972567079653665,12.794513415930739,0.00499290980545,2.0093108877691828,5.191182786494628,92862
sigma,0.6,0.0014677992676220691,10.0,0.005,0.7,10,5.0,0.08583587855853358,1.610062159410089,5.278768065486272,8.499144710541845,103.03027415964118,63.991488500910094,12.79829770018204,0.005120571054143337,2.0610088473983184,5.135572881365498,92862
sigma,0.6,0.0021544346900318843,10.0,0.005,0.7,10,5.0,0.08544122229100781,1.6081622261557855,5.2976334240656,8.51945396060263,102.95312159373847,64.01911443961825,12.80382288792366,0.005303440017860067,2.135122911175007,5.055750760883473,92862
sigma,0.6,0.0031622776601683794,10.0,0.005,0.7,10,5.0,0.08486643791679804,1.6053938848143743,5.324467721060985,8.547867919282833,102.84048770499031,64.05934934583445,12.811869869166866,0.0055624771460940975,2.240232226422676,4.942335427264363,92862
sigma,0.6,0.004641588833612777,10.0,0.005,0.7,10,5.0,0.08403235216878169,1.6013740482277934,5.362102002040457,8.586730990017882,102.67647741773123,64.1177353481912,12.823547069638275,0.005923517770095616,2.3869959864294974,4.783533426162132,92862
sigma,0.6,0.006812920690579608,10.0,0.005,0.7,10,5.0,0.0828284223859036,1.5955663015122328,5.413833438392913,8.638130196299835,102.43856433620338,64.20201043298232,12.840402086596411,0.00641516197598344,2.5874030944671946,4.5657796569604105,92862
sigma,0.6,0.01,10.0,0.005,0.7,10,5.0,0.08110414617690898,1.5872371046869764,5.482968554966459,8.702771134274698,102.09539161717689,64.32270976761939,12.864541953523847,0.00706284932640687,2.8525567902141105,4.275838406935636,92862
sigma,0.6,0.01467799267622069,10.0,0.005,0.7,10,5.0,0.07866248434446022,1.5754193273624102,5.571862080615775,8.778019211199823,101.60450504314339,64.49362609588593,12.898725219177138,0.007877285903039034,3.1882798320643375,3.9051176628554862,92862
sigma,0.6,0.021544346900318832,10.0,0.005,0.7,10,5.0,0.07526116098770796,1.5589091320998618,5.6804420628676615,8.855293006168575,100.91086746606034,64.73171873086193,12.946343746172454,0.008837489947422205,3.5886351300215917,3.456183633858532,92862
sigma,0.6,0.03162277660168379,10.0,0.005,0.7,10,5.0,0.0706324031991099,1.5363425163354474,5.804704590824209,8.91801445765079,99.94788665887874,65.05573177606182,13.01114635521241,0.009874634234937686,4.029740585544425,2.949238425008227,92862
sigma,0.6,0.046415888336127774,10.0,0.005,0.7,10,5.0,0.06453566249731824,1.5064123188140588,5.936330830837317,8.942561892129032,98.6436501277691,65.48250362518776,13.09650072503758,0.010870786178051341,4.469303730918597,2.423324757865773,92862
sigma,0.6,0.06812920690579612,10.0,0.005,0.7,10,5.0,0.056854428336902574,1.4682641869584416,6.0645652296384736,8.904383936151568,96.93508061729544,66.0201900164164,13.204038003283292,0.011686438712399813,4.8571606376976355,1.9271149203066722,92862
sigma,0.6,0.1,10.0,0.005,0.7,10,5.0,0.04772678559679966,1.4220126298350675,6.179854026096307,8.78783047564604,94.79011765544956,66.65912500822431,13.331825001644852,0.012210943037516514,5.154367216406151,1.5015968389114809,92862
sigma,0.6,0.1467799267622069,10.0,0.005,0.7,10,5.0,0.03765616026001417,1.369159862504274,6.27667486473137,8.593771294779636,92.23217915101641,67.36406878179902,13.472813756359768,0.012403654897189722,5.348257985562081,1.166524603180961,92862
sigma,0.6,0.21544346900318823,10.0,0.005,0.7,10,5.0,0.027508190324212145,1.3126118783698721,6.353599919764774,8.339810725093109,89.35530106984949,68.07442667730503,13.61488533546103,0.012297437096362484,5.452647042123897,0.9201701853187094,92862
sigma,0.6,0.31622776601683794,10.0,0.005,0.7,10,5.0,0.018319184740704264,1.2561409332845292,6.411596846428531,8.05386924651688,86.31906188271297,68.71765706815064,13.743531413630189,0.011970476668213634,5.4958740966458235,0.7486240130557738,92862
sigma,0.6,0.46415888336127775,10.0,0.005,0.7,10,5.0,0.010956287319304758,1.2035026716906878,6.452661294596877,7.765795107562433,83.3221725441066,69.23305988764871,13.846611977529749,0.011511925863998117,5.506870353914644,0.6350057426916083,92862
sigma,0.6,0.6812920690579608,10.0,0.005,0.7,10,5.0,0.0058084742746131734,1.157638680212406,6.479353893561632,7.5007506899718015,80.56401960033664,69.59340680077706,13.918681360155496,0.010998198832896367,5.505935479605194,0.5643849614064136,92862
sigma,0.6,1.0,10.0,0.005,0.7,10,5.0,0.0027052328974491724,1.1202423571804085,6.494611146738151,7.275538499992103,78.20482884918538,69.81063369717856,13.962126739435737,0.010483552799188658,5.5020175233774165,0.525372184387658,92862
sigma,0.6,1.467799267622069,10.0,0.005,0.7,10,5.0,0.0011049812914011303,1.0916800438371699,6.501364219481566,7.0974095761250435,76.33316304687739,69.92265130960193,13.984530261920407,0.01000127362125287,5.495417543258566,0.5100509211997748,92862
sigma,0.6,2.154434690031882,10.0,0.005,0.7,10,5.0,0.0003996195384559087,1.0711808837065744,6.502086435578766,6.964910693999793,74.9526973227357,69.97202663230806,13.99440532646158,0.009569121579542702,5.482880838538687,0.5131447134201901,92862
sigma,0.6,3.1622776601683795,10.0,0.005,0.7,10,5.0,0.0001311265204876344,1.0572469177133588,6.498600156436219,6.870624984843744,73.99757992226198,69.99082114356585,13.998164228713087,0.00919441630702089,5.461786323215596,0.5308550317642968,92862
sigma,0.6,4.6415888336127775,10.0,0.005,0.7,10,5.0,4.0675978138060565e-05,1.0481609141082007,6.492227913302887,6.8048995442063305,73.36827953964415,69.99715268153035,13.99943053630615,0.008877693310751363,5.4319564211373175,0.5597353492457815,92862
sigma,0.6,6.812920690579608,10.0,0.005,0.7,10,5.0,1.2607421920995954e-05,1.0423894351460188,6.484071000015424,6.7589271071527595,72.96634053118228,69.99911748046554,13.99982349609313,0.00861556337549889,5.39557991753289,0.5959810229984805,92862
sigma,0.6,10.0,10.0,0.005,0.7,10,5.0,4.151483451120264e-06,1.0387657974462199,6.475165409211845,6.726180359896121,72.71330395190415,69.99970939615842,13.999941879231747,0.008402919137663905,5.35625978297123,0.6353954186593596,92862
