burst_name,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
medium,0.6,0.1,0.1,0.005,0.7,10,1.0,0.06193512932298051,1.488713983454923,6.380056423509022,9.498079212909285,97.75572032553032,65.66454094739164,13.132908189478336,0.2950945840877527,5.901891681754545,0.670105544679366,92862
medium,0.6,0.1,0.1,0.005,0.7,10,1.2385989684455543,0.06479362349343831,1.501499987653121,6.354779329139307,9.541701084240977,98.29486539444099,65.4644463554596,13.092889271091904,0.3524617398378537,5.7609281346966,0.7937208543736416,92862
medium,0.6,0.1,0.1,0.005,0.7,10,1.534127404634391,0.06818691582642256,1.51638857491194,6.325730344763654,9.592265222773372,98.90935003559936,65.2269158921507,13.04538317843014,0.42029927010636214,5.598272327264305,0.9360452241991934,92862
medium,0.6,0.1,0.1,0.005,0.7,10,1.900168620844212,0.07217879430053153,1.53356517888644,6.2927313323646,9.650313651402023,99.60120053052007,64.94748439896307,12.989496879792618,0.4998312849446576,5.412582801331094,1.0980890339316298,92862
medium,0.6,0.1,0.1,0.005,0.7,10,2.353546893650252,0.07682531129923309,1.5531830227918626,6.255726568727566,9.716288301775647,100.370147749284,64.62222820905396,12.924445641810781,0.5921645568394506,5.203075811829759,1.2803139895200095,92862
medium,0.6,0.1,0.1,0.005,0.7,10,2.9151007546634413,0.08216771539094547,1.5753479146944258,6.214825136232648,9.790511818554602,101.21336229186707,64.24825992263409,12.84965198452682,0.6981841154304163,4.9697223228661365,1.4824415771766262,92862
medium,0.6,0.1,0.1,0.005,0.7,10,3.6106407876409943,0.08822435248928828,1.6001023356652888,6.1703446385103335,9.873182867940177,102.1254040229239,63.82429532575009,12.764859065150004,0.8184406813393332,4.713440430454072,1.703259823056591,92862
medium,0.6,0.1,0.1,0.005,0.7,10,4.47213595499958,0.09498263340516022,1.6274104366226105,6.122849896332776,9.964389823165629,103.09842954048118,63.35121566163905,12.67024313232779,0.953047066822185,4.43625213777492,1.9404576630751045,92862
medium,0.6,0.1,0.1,0.005,0.7,10,5.0,0.09876976715302321,1.6426239282679793,6.09715759289147,10.015336956504324,103.6267641747081,63.08611629928864,12.617223259857704,1.0288127324472625,4.284452100752915,2.069511906942118,92862
medium,0.6,0.1,0.1,0.005,0.7,10,6.860826325815648,0.11036557048889928,1.6890905169815045,6.022421676913294,10.172415343738095,105.18711549272201,62.27441006577732,12.45488201315544,1.2631892160782705,3.8330995272177777,2.448829243548511,92862
