sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
sigma,0.6,0.003727593720314938,1.0,0.005,0.7,10,100.0,0.08558711727993573,1.630473778082523,5.04254770455176,8.221741807001862,104.36483593310103,64.00890179039655,12.801780358079316,0.2734769581032379,0.5608120060173538,6.3639306778000915,92862
sigma,0.6,0.0071968567300115215,1.0,0.005,0.7,10,100.0,0.08456391571636768,1.6273405398480691,5.061404598690957,8.23662889202324,104.28083761161824,64.08052589985502,12.816105179971053,0.28961646067765723,0.5936281018487478,6.300650257502541,92862
sigma,0.6,0.013894954943731374,1.0,0.005,0.7,10,100.0,0.08260371308441716,1.6212056175161496,5.096605809401236,8.262645968466726,104.1101609685168,64.21774008408882,12.843548016817731,0.31933216706190637,0.654405898656712,6.18271391746365,92862
sigma,0.6,0.026826957952797246,1.0,0.005,0.7,10,100.0,0.07889266119921723,1.6091562753789468,5.1603024632925205,8.303733091660597,103.75439581702024,64.47751371605389,12.895502743210876,0.37173790476850427,0.7628301348707965,5.969929217149823,92862
sigma,0.6,0.0517947467923121,1.0,0.005,0.7,10,100.0,0.0720822348577338,1.5857473974975784,5.268950340572992,8.355224290107602,103.00102268162745,64.95424355995813,12.990848711991662,0.45704468652571945,0.9433630361474362,5.608743565335183,92862
sigma,0.6,0.1,1.0,0.005,0.7,10,100.0,0.06049451952282592,1.5425475109644522,5.435248206799326,8.384128592872303,101.44622883132729,65.76538363340246,13.153076726680508,0.5772825643205065,1.20976169197282,5.059879017026166,92862
sigma,0.6,0.19306977288832497,1.0,0.005,0.7,10,100.0,0.043650572492412776,1.4721761924166117,5.646835933003908,8.313137423050998,98.55404011655489,66.94445992553115,13.38889198510618,0.7097194458301916,1.5339468730626222,4.367441696001005,92862
sigma,0.6,0.3727593720314938,1.0,0.005,0.7,10,100.0,0.02489429808117749,1.3787347504912533,5.849882034836377,8.065435647703397,94.1088481646351,68.25739913431748,13.651479826863486,0.8055999835270806,1.8365744974277534,3.7063456921816793,92862
sigma,0.6,0.7196856730011514,1.0,0.005,0.7,10,100.0,0.010402275066918598,1.2812927181004643,5.981454094781497,7.663993575295736,88.75750511638806,69.27184074531571,13.854368149063133,0.8278601061201725,2.0445675984435256,3.2732041463731694,92862
sigma,0.6,1.3894954943731375,1.0,0.005,0.7,10,100.0,0.003070272001273855,1.2002672131399224,6.026360042724049,7.233242373858177,83.760744642496,69.7850809599108,13.957016191982156,0.7843859165162473,2.1450062856659926,3.1135916058356043,92862
