sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
delta,0.6785714285714285,0.1,0.1,0.005,0.7,10,5.0,0.13482674530281413,1.721010695552287,6.004179634194836,10.333257368466532,104.22806973877529,60.562127828803305,12.112425565760656,1.1063550876202672,4.58438606724062,2.196833279378457,92862
delta,0.7464285714285713,0.1,0.1,0.005,0.7,10,5.0,0.16754916352011062,1.784193673892406,5.918607596651161,10.559942232196539,103.96774613917077,58.27155855359256,11.654311710718506,1.1748528621455645,4.854417347313367,2.3164180798225624,92862
delta,0.8142857142857143,0.1,0.1,0.005,0.7,10,5.0,0.20118513660877757,1.8460693639090444,5.829944900194311,10.76248267352649,103.22673527192055,55.91704043738549,11.183408087477114,1.2442743189232588,5.130524979324695,2.4417926142749327,92862
delta,0.8821428571428571,0.1,0.1,0.005,0.7,10,5.0,0.23543409029625972,1.9087202605032754,5.739196018263643,10.95451971905954,102.15397096391514,53.519613679261745,10.70392273585233,1.314331678551373,5.4106278859519925,2.5711176996443044,92862
delta,0.95,0.1,0.1,0.005,0.7,10,5.0,0.27011002408160234,1.9738054805343257,5.647013304188842,11.146105808458188,100.84625842583607,51.09229831428786,10.218459662857537,1.3848553413306737,5.693560512590029,2.7031244832217602,92862
delta,0.0,0.1,1.0,0.005,0.7,10,5.0,1.2651207159652955e-07,1.0378458804370214,6.319601973851427,6.558772874563372,72.64920243958923,69.99999114415499,13.999998228830872,0.06689491161695674,4.569088297719084,1.3640185618330873,92862
delta,0.06785714285714285,0.1,1.0,0.005,0.7,10,5.0,7.009704475757772e-07,1.0399656836259037,6.307929614400408,6.560030333704003,72.79754682484837,69.99995093206853,13.999990186413573,0.0720465081928876,4.508773773260417,1.4191895321331227,92862
delta,0.1357142857142857,0.1,1.0,0.005,0.7,10,5.0,7.232118546030009e-06,1.0466112778921282,6.309432546383277,6.603523260144386,73.2622596072707,69.99949375170185,13.999898750340234,0.07807769275290855,4.505536479374426,1.4164870775324312,92862
delta,0.20357142857142857,0.1,1.0,0.005,0.7,10,5.0,5.979821393886642e-05,1.0607678769251738,6.313484920562168,6.697141995183831,74.2493111430512,69.99581412502438,13.999162825004653,0.08438579166646805,4.514213130424315,1.4022382529045645,92862
delta,0.2714285714285714,0.1,1.0,0.005,0.7,10,5.0,0.00038213156420530137,1.0883000402314758,6.314443023247793,6.872008596239934,76.15189165043458,69.97325079050577,13.994650158101065,0.0905366126607472,4.515730008585417,1.3990832206527708,92862
