burst_name,delta,sigma,K,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP
medium,0.6,0.1,100,0.1,10,1.0,6.155948106822962e-08,1.2114178022142836,1.8259829455451437,2.212028246773062
medium,0.6,0.1,100,0.16071428571428573,10,1.0,1.9083608449599332e-05,1.1612376392050348,2.225569104350358,2.584414612623473
medium,0.6,0.1,100,0.22142857142857142,10,1.0,0.0003195812174920931,1.1381204202914188,2.816710978053118,3.205756282181268
medium,0.6,0.1,100,0.28214285714285714,10,1.0,0.0016412140426388389,1.1186414998414975,3.4504660059788543,3.859834468080287
medium,0.6,0.1,100,0.34285714285714286,10,1.0,0.0052394004507176906,1.1030594118117139,4.054610145612668,4.472475882345317
medium,0.6,0.1,100,0.4035714285714286,10,1.0,0.013528860558959188,1.090898495800523,4.593203433286353,5.010718716277881
medium,0.6,0.1,100,0.4642857142857143,10,1.0,0.02980617440615896,1.0810553191044254,5.038120429663494,5.446486888776394
medium,0.6,0.1,100,0.525,10,1.0,0.05582340594398971,1.0730155959678291,5.379294074823957,5.77206643758344
medium,0.6,0.1,100,0.5857142857142857,10,1.0,0.08974738322597653,1.0665086699105881,5.6309457432139745,6.005452454933824
medium,0.6,0.1,100,0.6464285714285714,10,1.0,0.1276993970977921,1.0612280410168313,5.817512640211163,6.173707542761947
medium,0.6,0.1,100,0.7071428571428571,10,1.0,0.1662744053773334,1.0568643828914097,5.9603807510275635,6.299314124232583
medium,0.6,0.1,100,0.7678571428571428,10,1.0,0.2034072266374347,1.0531712443719106,6.0744019585286,6.397385469478737
medium,0.6,0.1,100,0.8285714285714285,10,1.0,0.2381223286742088,1.0499739015182659,6.169122804255107,6.4774179397290395
medium,0.6,0.1,100,0.8892857142857142,10,1.0,0.2700947977826055,1.047152577710715,6.250602123598514,6.545334125970252
medium,0.6,0.1,100,0.95,10,1.0,0.29933485811283755,1.0446245906345923,6.322736683772439,6.604886219976104
medium,0.6,0.1,200,0.1,10,1.0,1.7208456881689926e-14,1.2114179443529445,1.825983486658904,2.2120291618307517
medium,0.6,0.1,200,0.16071428571428573,10,1.0,1.5494427962892132e-10,1.161270171579963,2.2258177555319665,2.5847757668723346
medium,0.6,0.1,200,0.22142857142857142,10,1.0,3.238645052139333e-08,1.1385407797798122,2.8212867893046516,3.2121500610774008
