burst_name,delta,sigma,K,rho,P_block_arrival,E_W,Cost,ERP
weak,0.3,1.0,100,0.1,7.986119321401475e-09,1.2515211198006388,1.255603664831996,1.5714145046363255
weak,0.3,1.0,100,0.3125,0.0001544606548771199,1.092895896529244,3.232054381631037,3.5322989710439234
weak,0.3,1.0,100,0.525,0.006377072990240373,1.0596127004538427,5.01779748529898,5.316921943728154
weak,0.3,1.0,100,0.7374999999999999,0.05191113535396985,1.0415359505292539,6.225938115049427,6.484538372594316
weak,0.3,1.0,100,0.95,0.14676076468044374,1.0305861012785023,6.804628539245313,7.012755596909257
weak,0.3,1.0,200,0.1,-4.440892098500626e-16,1.251521133114753,1.2556037781888318,1.571414663222052
weak,0.3,1.0,200,0.3125,1.3808481025279207e-09,1.09305200021882,3.2351593270428194,3.5361973734507255
weak,0.3,1.0,200,0.525,2.796433185570102e-06,1.0643060389152736,5.108065998403184,5.436545489278285
weak,0.3,1.0,200,0.7374999999999999,0.00048255515075223965,1.090169631543511,6.57866986604538,7.17186610391309
weak,0.3,1.0,200,0.95,0.02965604039040226,1.3579863471636184,7.284689052355396,9.892508276430904
weak,0.3,1.0,500,0.1,2.220446049250313e-16,1.2515211331147862,1.255603778188831,1.5714146632220924
weak,0.3,1.0,500,0.3125,1.1102230246251565e-16,1.0930520067152114,3.2351593487918526,3.5361974182404112
weak,0.3,1.0,500,0.525,1.1546319456101628e-14,1.0643191062996118,5.108096650131489,5.436644861559987
weak,0.3,1.0,500,0.7374999999999999,3.838248163745561e-09,1.0929878826249995,6.580735573515863,7.192664240612115
weak,0.3,1.0,500,0.95,0.0024307119234522334,1.9881531578587004,7.363120698559121,14.639011668535076
weak,0.3,1.0,1000,0.1,2.4424906541753444e-15,1.2515211331149045,1.2556037781888287,1.571414663222238
weak,0.3,1.0,1000,0.3125,1.1102230246251565e-16,1.0930520067152114,3.235159348791852,3.536197418240411
weak,0.3,1.0,1000,0.525,2.6645352591003757e-15,1.064319106299807,5.108096650131477,5.436644861560971
weak,0.3,1.0,1000,0.7374999999999999,1.887379141862766e-15,1.0929879571303025,6.580735585867713,7.1926647444122365
weak,0.3,1.0,1000,0.95,6.61129992624021e-05,2.187525528548555,7.369841036647482,16.121715409011113
