burst_name,delta,sigma,K,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP
medium,0.6,0.1,100,0.1,10,5.0,4.384602767748547e-06,1.2690330052681742,1.5856004032175046,2.0121792448495386
medium,0.6,0.1,100,0.16071428571428573,10,5.0,0.0003095846271420344,1.2451523453410247,2.0922108859877016,2.60512129163561
medium,0.6,0.1,100,0.22142857142857142,10,5.0,0.0024387974775482713,1.2262093144088324,2.698529118380866,3.308961540162073
medium,0.6,0.1,100,0.28214285714285714,10,5.0,0.008081669597873153,1.206615813749521,3.2938933200695395,3.974463768799819
medium,0.6,0.1,100,0.34285714285714286,10,5.0,0.01841832870554161,1.1886591341360393,3.841403323331364,4.566119148178363
medium,0.6,0.1,100,0.4035714285714286,10,5.0,0.03509628510705287,1.1729470971174512,4.319818626558766,5.066918718096
medium,0.6,0.1,100,0.4642857142857143,10,5.0,0.059666331229967784,1.1592829872665644,4.71407033156322,5.4649415361592935
medium,0.6,0.1,100,0.525,10,5.0,0.09176031662022988,1.147473883737724,5.0227617587311615,5.763487942380567
medium,0.6,0.1,100,0.5857142857142857,10,5.0,0.12868266506855797,1.1373063942531354,5.259425842077359,5.981578640294762
medium,0.6,0.1,100,0.6464285714285714,10,5.0,0.16710266294711573,1.1284772053935317,5.44312552448026,6.142443080471685
medium,0.6,0.1,100,0.7071428571428571,10,5.0,0.204563636329808,1.1206799300814985,5.590377469247107,6.265023831365032
medium,0.6,0.1,100,0.7678571428571428,10,5.0,0.2397483905167065,1.1136712322726843,5.71293556638824,6.362331992114037
medium,0.6,0.1,100,0.8285714285714285,10,5.0,0.272144923765802,1.107277299243195,5.81857081035978,6.442771372350466
medium,0.6,0.1,100,0.8892857142857142,10,5.0,0.30168752349525274,1.1013774567094143,5.912348344196278,6.511727182511014
medium,0.6,0.1,100,0.95,10,5.0,0.3285233605725414,1.0958871372499073,5.997611207588839,6.572704976622492
medium,0.6,0.1,200,0.1,10,5.0,6.014966302814173e-12,1.2690433912468586,1.5856239766056994,2.0122256285140265
medium,0.6,0.1,200,0.16071428571428573,10,5.0,3.21544602055468e-08,1.2457856943316663,2.09446244110027,2.6092513464376967
medium,0.6,0.1,200,0.22142857142857142,10,5.0,3.7828643612014545e-06,1.231066068079834,2.7179209241087214,3.3459402253944326
medium,0.6,0.1,200,0.28214285714285714,10,5.0,7.236041588665199e-05,1.2233860085821233,3.357540207499744,4.107567713107105
medium,0.6,0.1,200,0.34285714285714286,10,5.0,0.000510992137316868,1.22816138132349,3.9773317427360437,4.884805247140463
medium,0.6,0.1,200,0.4035714285714286,10,5.0,0.0020322723949014465,1.2482821061094918,4.554480928167419,5.6852770452483385
medium,0.6,0.1,200,0.4642857142857143,10,5.0,0.005826897586407309,1.2874176202633671,5.064716612467052,6.520405408530674
medium,0.6,0.1,200,0.525,10,5.0,0.014063882131362448,1.353639434683128,5.4789750311363425,7.416556663790372
medium,0.6,0.1,200,0.5857142857142857,10,5.0,0.031039418408750685,1.4546749865808897,5.779662804251098,8.407530912216032
medium,0.6,0.1,200,0.6464285714285714,10,5.0,0.062046116817780717,1.5696519070452413,5.9789846810371365,9.384924706784226
medium,0.6,0.1,200,0.7071428571428571,10,5.0,0.10392049194031583,1.64966622916698,6.110330053195934,10.08000513782141
medium,0.6,0.1,200,0.7678571428571428,10,5.0,0.1473070053609481,1.6908422281781454,6.207635561584191,10.496132344666908
medium,0.6,0.1,200,0.8285714285714285,10,5.0,0.18785235678831214,1.710783072200575,6.28848099361064,10.758226833724136
medium,0.6,0.1,200,0.8892857142857142,10,5.0,0.22463555306621852,1.7197953137406725,6.360127693660052,10.93811780234883
medium,0.6,0.1,200,0.95,10,5.0,0.2577480921779577,1.722734934669447,6.425978320210072,11.070257341654381
medium,0.6,0.1,500,0.1,10,5.0,1.5765166949677223e-14,1.2690433912808043,1.5856239766258657,2.0122256285934434
medium,0.6,0.1,500,0.16071428571428573,10,5.0,1.4099832412739488e-14,1.2457858742653976,2.0944625920904993,2.6092519114036334
medium,0.6,0.1,500,0.22142857142857142,10,5.0,2.531308496145357e-14,1.2310879727364137,2.717940826327492,3.3460242619010447
medium,0.6,0.1,500,0.28214285714285714,10,5.0,3.909494949994041e-11,1.223833996641621,3.3579213133565586,4.109538261333238
medium,0.6,0.1,500,0.34285714285714286,10,5.0,9.94105053830907e-09,1.2316221767489206,3.979844107248174,4.90166426249036
medium,0.6,0.1,500,0.4035714285714286,10,5.0,6.322477061893039e-07,1.2635935500288717,4.563394678970186,5.7662760825828006
medium,0.6,0.1,500,0.4642857142857143,10,5.0,1.5180351771060252e-05,1.3368211547455953,5.0869368668683945,6.800324816484948
medium,0.6,0.1,500,0.525,10,5.0,0.00018282097824240395,1.4881320975901038,5.525537117521284,8.222729141008925
medium,0.6,0.1,500,0.5857142857142857,10,5.0,0.0013687751537443393,1.7853893432344514,5.871407585725812,10.482748533340784
medium,0.6,0.1,500,0.6464285714285714,10,5.0,0.007565239618153141,2.270496857618213,6.145001508439172,13.952206614970319
medium,0.6,0.1,500,0.7071428571428571,10,5.0,0.027725442017759616,2.7472795357509137,6.350230957339465,17.445859556390648
medium,0.6,0.1,500,0.7678571428571428,10,5.0,0.06041052350704135,3.062341119342928,6.496007595971107,19.89299117270632
medium,0.6,0.1,500,0.8285714285714285,10,5.0,0.09755682465481863,3.2604441861404077,6.605650079694378,21.537353398017455
medium,0.6,0.1,500,0.8892857142857142,10,5.0,0.13473005990279174,3.3907517512956407,6.694052815858299,22.697871308637044
medium,0.6,0.1,500,0.95,10,5.0,0.17015109855694177,3.480755137361833,6.76911427371144,23.561629283610408
medium,0.6,0.1,1000,0.1,10,5.0,3.0753177782116836e-14,1.2690433912815784,1.5856239766259739,2.012225628594808
medium,0.6,0.1,1000,0.16071428571428573,10,5.0,2.8976820942716586e-14,1.2457858742659742,2.094462592090583,2.6092519114049453
medium,0.6,0.1,1000,0.22142857142857142,10,5.0,3.341771304121721e-14,1.23108797273717,2.7179408263278058,3.346024261903487
medium,0.6,0.1,1000,0.28214285714285714,10,5.0,2.6867397195928788e-14,1.2238339971272187,3.357921313482296,4.109538263117718
medium,0.6,0.1,1000,0.34285714285714286,10,5.0,6.8833827526759706e-15,1.2316223077990054,3.9798441386830117,4.901664822765116
medium,0.6,0.1,1000,0.4035714285714286,10,5.0,1.1657341758564144e-13,1.263602523312489,4.563396572545753,5.766319423944378
medium,0.6,0.1,1000,0.4642857142857143,10,5.0,9.000300504879988e-11,1.3370564118752004,5.08697944128223,6.80157847904373
medium,0.6,0.1,1000,0.525,10,5.0,2.2073472827344176e-08,1.49126648936008,5.526026274320714,8.240777802217814
medium,0.6,0.1,1000,0.5857142857142857,10,5.0,2.2023168352314215e-06,1.8115160284005567,5.875011805778591,10.642678053210416
medium,0.6,0.1,1000,0.6464285714285714,10,5.0,0.00011814170026847037,2.4295318144101423,6.16477947092263,14.977527853429054
medium,0.6,0.1,1000,0.7071428571428571,10,5.0,0.002682627966105633,3.352877952367997,6.419112325513438,21.522500189987664
medium,0.6,0.1,1000,0.7678571428571428,10,5.0,0.015060757087801746,4.296835875898654,6.6276896346397605,28.478094596441764
medium,0.6,0.1,1000,0.8285714285714285,10,5.0,0.038696883581989416,5.049785858826389,6.786702311285726,34.271393359595024
medium,0.6,0.1,1000,0.8892857142857142,10,5.0,0.0691450782677776,5.6107493160119715,6.90750645514748,38.756287118567
medium,0.6,0.1,1000,0.95,10,5.0,0.10239710882155117,6.031537669303685,7.001875859032206,42.23207799954085
