burst_name,delta,sigma,K,rho,P_block_arrival,E_W,Cost,ERP
strong,0.9,0.01,200,0.6464285714285714,0.18996426349674211,1.871789241167554,5.395395986746352,10.09904415983042
strong,0.9,0.01,200,0.7071428571428571,0.2541937072974768,1.905753859475163,5.4134528646621805,10.316708689916828
strong,0.9,0.01,200,0.7678571428571428,0.30857855709503457,1.920796054922806,5.4301806681637785,10.430269604927073
strong,0.9,0.01,200,0.8285714285714285,0.3551281765686656,1.9278832600387492,5.44622458372052,10.499685205366296
strong,0.9,0.01,200,0.8892857142857142,0.3953981204974494,1.930909013494411,5.461837739099504,10.546311720671168
strong,0.9,0.01,200,0.95,0.4305692107165626,1.9315899996899626,5.477153813304503,10.579615532542723
strong,0.9,0.01,500,0.1,5.329070518200751e-15,1.2774984831657945,1.5089603760635533,1.9276945915784762
strong,0.9,0.01,500,0.16071428571428573,1.7208456881689926e-14,1.1919539748552606,2.2455317241270514,2.6765704642368253
strong,0.9,0.01,500,0.22142857142857142,2.810380816953284e-10,1.1580058234782626,2.95937766691404,3.4269765721579724
strong,0.9,0.01,500,0.28214285714285714,1.848098729606562e-07,1.1506462528809673,3.6467707213471092,4.1961430656340735
strong,0.9,0.01,500,0.34285714285714286,1.2819659155116625e-05,1.171895799314018,4.285908970684462,5.022638718987388
strong,0.9,0.01,500,0.4035714285714286,0.00021681835976683494,1.2499233758404307,4.814554960038859,6.017824788821061
strong,0.9,0.01,500,0.4642857142857143,0.0016366064575843442,1.5069635157274472,5.1606212415417305,7.77686792949147
strong,0.9,0.01,500,0.525,0.012964639603022632,2.9596800122048497,5.376699743280269,15.913310761813557
strong,0.9,0.01,500,0.5857142857142857,0.09015967045998774,4.31953506183244,5.442811127214633,23.510413498935353
strong,0.9,0.01,500,0.6464285714285714,0.1680736580876213,4.507995664180791,5.46724879232619,24.64633385080413
strong,0.9,0.01,500,0.7071428571428571,0.23389332026607557,4.569536308531304,5.486842047167562,25.072323953708402
strong,0.9,0.01,500,0.7678571428571428,0.28970697734223816,4.594358075942155,5.504591869496459,25.290066110386586
strong,0.9,0.01,500,0.8285714285714285,0.3375291272008041,4.6031765671120155,5.521351662748913,25.41575659275076
strong,0.9,0.01,500,0.8892857142857142,0.3789267147060288,4.6035065265788395,5.5374919358919374,25.491880267756226
strong,0.9,0.01,500,0.95,0.415098411698153,4.598787269176393,5.553209227436303,25.538027898206945
strong,0.9,0.01,1000,0.1,1.509903313490213e-14,1.2774984831662084,1.5089603760635502,1.9276945915790966
strong,0.9,0.01,1000,0.16071428571428573,2.7422508708241367e-14,1.1919539748557944,2.2455317241271353,2.676570464238124
strong,0.9,0.01,1000,0.22142857142857142,-3.9968028886505635e-15,1.1580058275304936,2.959377668297318,3.4269765857518983
strong,0.9,0.01,1000,0.28214285714285714,7.105427357601002e-15,1.1506493478098858,3.646771541933698,4.196155296337661
strong,0.9,0.01,1000,0.34285714285714286,7.212364039332897e-11,1.1721582831138273,4.285953145575806,5.023815480624444
strong,0.9,0.01,1000,0.4035714285714286,6.898761550910848e-08,1.2558202667406628,4.815076365632688,6.046870485865504
strong,0.9,0.01,1000,0.4642857142857143,1.2092248875217315e-05,1.5759719422890537,5.163946033814286,8.138234060786155
strong,0.9,0.01,1000,0.525,0.0015309955337436953,4.044624693655985,5.403978403843895,21.857064496170672
strong,0.9,0.01,1000,0.5857142857142857,0.060491366092589094,7.688251437271844,5.522466983201982,42.458114720888936
strong,0.9,0.01,1000,0.6464285714285714,0.13718037419796858,8.343003991407421,5.559389132939364,46.38200572590016
strong,0.9,0.01,1000,0.7071428571428571,0.20416947481697978,8.578711567308398,5.5844019338782775,47.906973466660965
strong,0.9,0.01,1000,0.7678571428571428,0.2615813334494229,8.689943256320674,5.60530545921371,48.709786374911644
strong,0.9,0.01,1000,0.8285714285714285,0.31101892597411385,8.746862825132022,5.62416249656459,49.193777863702515
strong,0.9,0.01,1000,0.8892857142857142,0.3539373271405971,8.774959236479354,5.641804173643883,49.506601643924164
strong,0.9,0.01,1000,0.95,0.3915068894536059,8.785853045440556,5.658646595606558,49.71603742508171
