burst_name,delta,sigma,K,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP
strong,0.9,0.01,100,0.1,10,1.0,2.3940367381181105e-05,1.2601007581541042,1.5232236366222431,1.9194152593459402
strong,0.9,0.01,100,0.16071428571428573,10,1.0,0.00061561067380278,1.1846368264927618,2.234826315625718,2.647457554305362
strong,0.9,0.01,100,0.22142857142857142,10,1.0,0.0027631485933874433,1.146963870656229,2.9212346946788004,3.3505506525040643
strong,0.9,0.01,100,0.28214285714285714,10,1.0,0.007868702440338438,1.123456498004328,3.5592243550354246,3.998633729519811
strong,0.9,0.01,100,0.34285714285714286,10,1.0,0.02037607155535537,1.1066867029315335,4.109188233311359,4.547583977648401
strong,0.9,0.01,100,0.4035714285714286,10,1.0,0.04795389010601503,1.0939658507958092,4.523415766946892,4.948462377991234
strong,0.9,0.01,100,0.4642857142857143,10,1.0,0.09321016736082488,1.0846184145784947,4.797622817424022,5.203590053980054
strong,0.9,0.01,100,0.525,10,1.0,0.14892725825236897,1.0779673867920743,4.97054370996373,5.358084013965383
strong,0.9,0.01,100,0.5857142857142857,10,1.0,0.20634846301120724,1.0731317853804003,5.082090480573395,5.453752830882465
strong,0.9,0.01,100,0.6464285714285714,10,1.0,0.26051918012847475,1.0694520110600232,5.158334596128805,5.516591307550443
strong,0.9,0.01,100,0.7071428571428571,10,1.0,0.30963822316766165,1.0665266854839572,5.214132280981984,5.561011219310621
strong,0.9,0.01,100,0.7678571428571428,10,1.0,0.35346638126887897,1.0641163009960253,5.257637613059263,5.594737888786194
strong,0.9,0.01,100,0.8285714285714285,10,1.0,0.3923801676745724,1.062073035414929,5.293392368345383,5.621969300290801
strong,0.9,0.01,100,0.8892857142857142,10,1.0,0.4269412913936673,1.0603015999302028,5.324024839794848,5.645072055702619
strong,0.9,0.01,100,0.95,10,1.0,0.4577221531028941,1.0587379569754178,5.351126400566173,5.665440632852651
strong,0.9,0.01,200,0.1,10,1.0,4.3531911408933865e-10,1.260149632147907,1.5235138183846053,1.9198553778096137
strong,0.9,0.01,200,0.16071428571428573,10,1.0,1.3865328023499046e-06,1.1860516170634516,2.243169568724322,2.6605148943330073
strong,0.9,0.01,200,0.22142857142857142,10,1.0,6.520368664375553e-05,1.1541707722105055,2.9557740161092205,3.411467978652526
strong,0.9,0.01,200,0.28214285714285714,10,1.0,0.0005330688748896861,1.1426689174427467,3.6406055646727316,4.160006819420629
strong,0.9,0.01,200,0.34285714285714286,10,1.0,0.001926653196746897,1.145427892809645,4.27280745398806,4.894192838402888
strong,0.9,0.01,200,0.4035714285714286,10,1.0,0.0048955291205130536,1.1689500787494238,4.79478873899871,5.604868674039392
strong,0.9,0.01,200,0.4642857142857143,10,1.0,0.011970481574992697,1.257344252409954,5.134121597247647,6.455358281473142
strong,0.9,0.01,200,0.525,10,1.0,0.04119319294714008,1.5226666850434094,5.313421060984538,8.090569233169163
strong,0.9,0.01,200,0.5857142857142857,10,1.0,0.11430365414520927,1.778835655086265,5.372986518578732,9.557659993545668
strong,0.9,0.01,200,0.6464285714285714,10,1.0,0.18989982614522127,1.8716087880054189,5.395817339923586,10.098859151873006
strong,0.9,0.01,200,0.7071428571428571,10,1.0,0.25414138697309385,1.9055990401130891,5.413825438170647,10.31658055831781
strong,0.9,0.01,200,0.7678571428571428,10,1.0,0.3085356013691528,1.9206614878435666,5.430511571715575,10.430174435082943
strong,0.9,0.01,200,0.8285714285714285,10,1.0,0.3550925622070319,1.9277652874288276,5.446519650907538,10.499611520318528
strong,0.9,0.01,200,0.8892857142857142,10,1.0,0.3953683391093197,1.9308049328285062,5.462101778495801,10.546253057531048
strong,0.9,0.01,200,0.95,10,1.0,0.43054412028248945,1.9314977227953154,5.477390814604979,10.579567885269494
strong,0.9,0.01,500,0.1,10,1.0,2.5424107263916085e-14,1.260149634680844,1.5235138218328892,1.9198553860139318
