sweep_var,delta,sigma,alpha,beta,rho,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
delta,0.06785714285714285,0.1,1.0,0.005,0.7,5.04518527622011e-07,1.035773943479318,6.4660525491319625,6.69736874755891,72.50413946385197,69.99996468370293,13.999992936740483,0.026428678613035335,5.285735722606464,0.6878426620400172,8442
delta,0.1357142857142857,0.1,1.0,0.005,0.7,5.5058331694946006e-06,1.0413387733058708,6.485134553603702,6.7532220607731945,72.89331279078192,69.99961459167821,13.999922918335548,0.026848701174276037,5.369740234854683,0.6034881456354927,8442
delta,0.20357142857142857,0.1,1.0,0.005,0.7,4.8162592602984944e-05,1.0537103206529415,6.503102520512945,6.852386242128647,73.75616998624334,69.99662861851789,13.999325723703341,0.02724859276660913,5.449718553320976,0.5237071302090729,8442
delta,0.2714285714285714,0.1,1.0,0.005,0.7,0.0003236425120316522,1.0785550954194554,6.515173472951894,7.026973546793935,75.47442203973081,69.97734502415793,13.99546900483149,0.027545799572497955,5.509159914499369,0.4678252810966432,8442
delta,0.33928571428571425,0.1,1.0,0.005,0.7,0.001617162744460443,1.1236831338504116,6.519990559993676,7.326403425128794,78.53061687448411,69.88679860788794,13.977359721577542,0.027801348055593107,5.560269611118546,0.43456931924831854,8442
delta,0.40714285714285714,0.1,1.0,0.005,0.7,0.005851028665173619,1.1929940557172078,6.5148865939794725,7.772220980289237,83.02096693098797,69.59042799343804,13.918085598687576,0.02817902593255821,5.63580518651167,0.4179301888681966,8442
delta,0.475,0.1,1.0,0.005,0.7,0.015426749063810918,1.2782879153077467,6.495922937039326,8.303659789187776,88.09976618848975,68.92012756553348,13.784025513106599,0.02887011803910617,5.774023607821185,0.41308076103311003,8442
delta,0.5428571428571428,0.1,1.0,0.005,0.7,0.031214872589558573,1.3638585790591802,6.462017504697362,8.813278011812093,92.49001350985735,67.81495891873115,13.562991783746254,0.02995156357983748,5.990312715967595,0.41674393670631377,8442
delta,0.6107142857142857,0.1,1.0,0.005,0.7,0.052120965345192505,1.439639349569944,6.416031705071722,9.236771710709593,95.52227698450075,66.35153242583681,13.270306485167254,0.03135963080457888,6.271926160915619,0.4264077231125483,8442
delta,0.6785714285714285,0.1,1.0,0.005,0.7,0.07648711695199495,1.5041517102557815,6.361875733907059,9.569226265591059,97.23724377359378,64.64590181336067,12.929180362672177,0.032988445867516494,6.597689173503494,0.44014201795681207,8442
delta,0.7464285714285713,0.1,1.0,0.005,0.7,0.10303706665011492,1.5598507401853732,6.302525968482521,9.830999796974996,97.93898068532684,62.787405334492284,12.557481066898422,0.034755766350989314,6.951153270197919,0.4566098965526698,8442
delta,0.8142857142857143,0.1,1.0,0.005,0.7,0.13097531488458303,1.6096853697760272,6.239844762551096,10.044186823952067,97.91994251231525,60.8317279580791,12.16634559161579,0.0366104876119969,7.3220975223993845,0.4749463983728278,8442
delta,0.8821428571428571,0.1,1.0,0.005,0.7,0.15982948426903332,1.6560375162022425,6.174946710960272,10.225943413899856,97.39477258402256,58.81193610116758,11.762387220233496,0.03852245446273774,7.704490892547399,0.4945994327563671,8442
delta,0.95,0.1,1.0,0.005,0.7,0.18931411422363387,1.7006740720994211,6.108510926163839,10.388586151262862,96.50987265897736,56.748012004345654,11.34960240086911,0.04047356606108149,8.094713212216192,0.5152108208536172,8442
delta,0.0,0.1,10.0,0.005,0.7,5.040970252334631e-08,1.0319385047831389,6.537448538352198,6.746244869763884,72.2356916934398,69.99999647132083,13.999999294264018,0.002820780021150368,5.641560042300387,0.35561988341444395,8442
delta,0.06785714285714285,0.1,10.0,0.005,0.7,3.518762934362485e-07,1.0333670317151475,6.537049464792192,6.755171401607401,72.33566676684492,69.99997536865932,13.999995073731727,0.0028198997532257342,5.639799506451231,0.3573855200638164,8442
delta,0.1357142857142857,0.1,10.0,0.005,0.7,4.3515013213868414e-06,1.0384982735561172,6.536433005181213,6.788074391095913,72.6945628170656,69.99969539490758,13.999939078981393,0.0028185811747871445,5.637162349573972,0.36007999026984705,8442
delta,0.20357142857142857,0.1,10.0,0.005,0.7,4.156860805981655e-05,1.050199496863568,6.536279278644336,6.864397209792047,73.51090890726097,69.99709019743591,13.999418039486983,0.002818674572433846,5.637349144867088,0.3604141410734956,8442
delta,0.2714285714285714,0.1,10.0,0.005,0.7,0.0002949365638897916,1.0741174035059828,6.536046867276767,7.020481690272733,75.16604249068465,69.97935444052786,13.995870888105479,0.002821113376065579,5.642226752131032,0.3590812463874234,8442
delta,0.33928571428571425,0.1,10.0,0.005,0.7,0.0015215967248435325,1.1180872424735966,6.533525418101298,7.305051418356032,78.14701752111534,69.89348822926112,13.978697645852165,0.0028298285331708867,5.659657066341738,0.3588154592729265,8442
delta,0.40714285714285714,0.1,10.0,0.005,0.7,0.005609306838964323,1.1862108923793973,6.524307155077384,7.7392042125816305,82.56899500558261,69.6073485212727,13.92146970425452,0.0028570641538804994,5.7141283077610225,0.3615449238305773,8442
delta,0.475,0.1,10.0,0.005,0.7,0.014954981544783474,1.2705816566986972,6.50316285799366,8.262799437891019,87.61060920301425,68.9531512918654,13.790630258372996,0.002919180408533652,5.838360817067312,0.368089744151158,8442
delta,0.5428571428571428,0.1,10.0,0.005,0.7,0.030467612270243083,1.3556105456917442,6.468164632737995,8.768312187409993,92.00158304373122,67.86726714108323,13.573453428216649,0.0030225038827137547,6.045007765427584,0.3785163024730541,8442
delta,0.6107142857142857,0.1,10.0,0.005,0.7,0.05109705577332957,1.4311303573906997,6.421653917925428,9.190223866600006,95.06026667901455,66.42320609586722,13.284641219173375,0.0031599784200717017,6.319956840143292,0.39224196226326097,8442
delta,0.6785714285714285,0.1,10.0,0.005,0.7,0.07520781849046054,1.495507556090743,6.3672633356583415,9.522290430096598,96.81235866828155,64.73545270566808,12.947090541133637,0.0033205838982322436,6.641167796464612,0.4084210785035191,8442
delta,0.7464285714285713,0.1,10.0,0.005,0.7,0.10152774708777257,1.5510867335435474,6.307835930095381,9.78400062854027,97.55258743644023,62.89305770385625,12.578611540771234,0.0034957870475868726,6.991574095173774,0.426318577007405,8442
delta,0.8142857142857143,0.1,10.0,0.005,0.7,0.12925793844491595,1.6007571628593544,6.245170621644841,9.997001605876786,97.56926144260538,60.95194430885579,12.190388861771144,0.0036802589535675067,7.360517907134973,0.4454129721403156,8442
delta,0.8821428571428571,0.1,10.0,0.005,0.7,0.1579211541981016,1.646871951752547,6.1803497894883845,10.178244720328179,97.07572226207118,58.94551920613281,11.789103841226527,0.003870833491338145,7.741666982676213,0.4653583426059216,8442
delta,0.95,0.1,10.0,0.005,0.7,0.1872276787614363,1.691183716052092,6.11403462793165,10.339955802136616,96.21831201755636,56.89406248669948,11.378812497339865,0.004065597730701604,8.131195461403173,0.4859264435262598,8442
