burst_name,delta,sigma,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
weak,0.3,1.0,0.1,10,5.0,7.66053886991358e-15,1.200280432246687,2.3297633606877177,2.796369373598748,12.002804322466778,9.999999999999924,2.0000000000000018,0.8517050612835864,5.5746728183516625,11.573622120364753,92862
weak,0.3,1.0,0.16071428571428573,10,5.0,1.432187701766452e-14,1.1302373328839908,2.4157192243597554,2.730336053136953,18.164528564206734,16.071428571428342,3.214285714285696,0.6643879791508557,4.244088733006547,11.8772375735569,92862
weak,0.3,1.0,0.22142857142857142,10,5.0,1.6021739490668097e-11,1.1172485549653535,2.6048804514419683,2.9102989202310368,24.739075145265033,22.142857142502375,4.428571428500479,0.5304111533031478,3.2820991379658535,11.758918280230521,92862
weak,0.3,1.0,0.28214285714285714,10,5.0,2.6317452661572815e-09,1.1232162841445397,2.9469951355513793,3.310112925546054,31.690745076390396,28.214285640032895,5.642857128006649,0.4762542681778649,2.8650975797202243,11.015791024095261,92862
weak,0.3,1.0,0.34285714285714286,10,5.0,8.55408528455115e-08,1.1230740612733867,3.412088605757091,3.8320282078922636,38.50539309273168,34.28571135288505,6.8571422705770395,0.487617814073111,2.8840439612493904,9.77119595410046,92862
weak,0.3,1.0,0.4035714285714286,10,5.0,1.0010646740443718e-06,1.1161303326701988,3.9299011954555336,4.386281928644797,45.04378619097331,40.357102457032795,8.071420491406624,0.5276497685290199,3.088917669046805,8.312012071017552,92862
weak,0.3,1.0,0.4642857142857143,10,5.0,6.347973504294835e-06,1.1093635434182947,4.451024051445755,4.937803813551916,51.505837556081744,46.42827670123016,9.285655340246096,0.5696091205080511,3.305325281005244,6.839410258240608,92862
weak,0.3,1.0,0.525,10,5.0,2.8176175756233768e-05,1.1060926887526195,4.9585767863638335,5.484645530015496,58.06822997275747,52.4985207507728,10.499704150154631,0.6041002560701335,3.474335539618447,5.421860054156788,92862
weak,0.3,1.0,0.5857142857142857,10,5.0,0.00010098580567796667,1.1075433447334166,5.443389830393732,6.02879017944214,64.86384491661921,58.56551368852458,11.713102737704912,0.6259515325586554,3.564694069986157,4.096251659750276,92862
weak,0.3,1.0,0.6464285714285714,10,5.0,0.0003172943350348012,1.1154569869574764,5.893847871458614,6.574333788282961,72.0834477279256,64.62234633048524,12.924469266097011,0.6286547033410702,3.5380619599858343,2.9088140705760845,92862
weak,0.3,1.0,0.7071428571428571,10,5.0,0.000924180977728728,1.1331102537936089,6.296044636818473,7.13411273632127,80.05303030734783,70.64893291657489,14.12978658331501,0.6046018994756421,3.352169685705105,1.913441831504243,92862
weak,0.3,1.0,0.7678571428571428,10,5.0,0.002572753692131946,1.1657940387051366,6.6377327939642,7.738229321721056,89.2860245087055,76.58816355578271,15.317632711156584,0.5480735075030543,2.9812958573707355,1.1529979239696262,92862
weak,0.3,1.0,0.8285714285714285,10,5.0,0.0067986970283913095,1.2197154870802467,6.913188802556494,8.432123447587902,100.37504948474223,82.293822246219,16.458764449243787,0.4603572159563181,2.4466613422458563,0.634216992554038,92862
weak,0.3,1.0,0.8892857142857142,10,5.0,0.01633845268960976,1.2974575216688662,7.123776987515983,9.242798035144189,113.49589616437176,87.47561617153112,17.495123234306167,0.3535703471580864,1.8308827364800162,0.3204236820557307,92862
weak,0.3,1.0,0.95,10,5.0,0.03406208749368478,1.3926543814164665,7.275047114450781,10.131626238951101,127.79567827267854,91.76410168809994,18.35282033761999,0.24762466684834591,1.2485229784863434,0.15103201704532232,92862
medium,0.6,0.1,0.1,10,5.0,6.014966302814173e-12,1.2690433912468586,1.5856239766056994,2.0122256285140265,12.69043391239224,9.99999999993984,1.9999999999880205,0.4917572144049398,2.875920257895962,14.632322527711075,92862
medium,0.6,0.1,0.16071428571428573,10,5.0,3.21544602055468e-08,1.2457856943316663,2.09446244110027,2.6092513464376967,20.021555157976582,16.071428054660444,3.2142856109321483,0.5581015888244338,2.997146575774379,13.230466224469037,92862
medium,0.6,0.1,0.22142857142857142,10,5.0,3.7828643612014545e-06,1.231066068079834,2.7179209241087214,3.3459402253944326,27.25921696060015,22.142773379431983,4.428554675886436,0.6830543171548976,3.528814364704866,11.359576642253801,92862
medium,0.6,0.1,0.28214285714285714,10,5.0,7.236041588665199e-05,1.2233860085821233,3.357540207499744,4.107567713107105,34.51446472324226,28.212244116837454,5.642448823367522,0.8164932933293163,4.118601833714855,9.422456049588307,92862
medium,0.6,0.1,0.34285714285714286,10,5.0,0.000510992137316868,1.22816138132349,3.9773317427360437,4.884805247140463,42.086873160489475,34.26819455529196,6.853638911058323,0.9399323513658587,4.641668969492172,7.564759768083648,92862
medium,0.6,0.1,0.4035714285714286,10,5.0,0.0020322723949014465,1.2482821061094918,4.554480928167419,5.6852770452483385,50.27471929406955,40.27512614977736,8.05502522995543,1.042095020341472,5.0275088057023885,5.87537094400071,92862
medium,0.6,0.1,0.4642857142857143,10,5.0,0.005826897586407309,1.2874176202633671,5.064716612467052,6.520405408530674,59.42467001896108,46.158036897774146,9.23160737955483,1.111786791163606,5.212188911468405,4.444416917813158,92862
medium,0.6,0.1,0.525,10,5.0,0.014063882131362448,1.353639434683128,5.4789750311363425,7.416556663790372,70.06660548433277,51.7616461881037,10.352329237620694,1.1369342117410417,5.138756314366533,3.371980236271731,92862
medium,0.6,0.1,0.5857142857142857,10,5.0,0.031039418408750685,1.4546749865808897,5.779662804251098,8.407530912216032,82.55775937424339,56.75340549320199,11.35068109864037,1.1157364217141512,4.843072969077277,2.6905095105682006,92862
medium,0.6,0.1,0.6464285714285714,10,5.0,0.062046116817780717,1.5696519070452413,5.9789846810371365,9.384924706784226,95.17116405850051,60.63201887713658,12.126403775427319,1.0697646228734239,4.510387461407625,2.2934441402916326,92862
medium,0.6,0.1,0.7071428571428571,10,5.0,0.10392049194031583,1.64966622916698,6.110330053195934,10.08000513782141,104.53212729026298,63.36562235564937,12.673124471129862,1.0236488405873574,4.258281572851811,2.04494511543097,92862
medium,0.6,0.1,0.7678571428571428,10,5.0,0.1473070053609481,1.6908422281781454,6.207635561584191,10.496132344666908,110.7072873023536,65.47464065978461,13.094928131956888,0.9818432551243171,4.05629313380765,1.8669354791111452,92862
medium,0.6,0.1,0.8285714285714285,10,5.0,0.18785235678831214,1.710783072200575,6.28848099361064,10.758226833724136,115.12241361111558,67.29223329468299,13.458446658936616,0.9422614980295935,3.874774991375806,1.7245168516579845,92862
medium,0.6,0.1,0.8892857142857142,10,5.0,0.22463555306621852,1.7197953137406725,6.360127693660052,10.93811780234883,118.58341693828037,68.95205260232586,13.790410520465182,0.9037316566776554,3.7033180749769006,1.6025397478802628,92862
medium,0.6,0.1,0.95,10,5.0,0.2577480921779577,1.722734934669447,6.425978320210072,11.070257341654381,121.47681273335796,70.51393124309432,14.102786248618887,0.8657746665764717,3.537860113636013,1.4935789711686285,92862
strong,0.9,0.01,0.1,10,5.0,6.2121403576753664e-09,1.323713116873749,1.3392343088133407,1.7727620211435682,13.23713108650658,9.9999999378786,1.9999999875757786,0.2996050358176135,2.103963030471006,15.596431946135601,92862
strong,0.9,0.01,0.16071428571428573,10,5.0,1.4328242897043708e-05,1.2482759525475313,1.991573849433672,2.486033743970571,20.061290361639877,16.071198296096306,3.2142396592193023,0.40968702055476247,2.788490063178091,13.587583257047843,92862
strong,0.9,0.01,0.22142857142857142,10,5.0,0.0005809134868847154,1.2313903152442032,2.619860672425263,3.226071059313635,27.25066036005418,22.129994058504483,4.425998811700884,0.5129882853473445,3.38183016683986,11.679182736111912,92862
strong,0.9,0.01,0.28214285714285714,10,5.0,0.003723646949881143,1.240037467764707,3.1966589331235866,3.9639768487380023,34.856493027278226,28.109225675342362,5.621845135068501,0.6001445618871867,3.8003583828137466,9.977651920230567,92862
strong,0.9,0.01,0.34285714285714286,10,5.0,0.010137038346539895,1.254460429022804,3.7095767418306993,4.653517231049955,42.57407710455673,33.938158685261165,6.787631737052313,0.6672949512182702,4.0191561855006706,8.525917126228748,92862
strong,0.9,0.01,0.4035714285714286,10,5.0,0.01910302325455948,1.2820301527321767,4.1323462149623955,5.297792449110472,50.75070128678453,39.58619941865489,7.917239883731048,0.7052012607537472,3.9473766045135488,7.430182251001655,92862
strong,0.9,0.01,0.4642857142857143,10,5.0,0.03224500927408813,1.3671038875815542,4.418104791516311,6.04000823622464,61.426003323649354,44.93148171227404,8.986296342454834,0.6990653146686358,3.442570152982556,6.872068189893975,92862
strong,0.9,0.01,0.525,10,5.0,0.06562806703784063,1.6169541744349445,4.581465570587409,7.4080198793912855,79.31892136759484,49.05452648051289,9.810905296102582,0.6713790438428785,2.8385211290259904,6.67919453102855,92862
strong,0.9,0.01,0.5857142857142857,10,5.0,0.1383261699281797,1.8575378210026439,4.643025922665551,8.624596255246958,93.74894411112919,50.469467189920415,10.09389343798406,0.6602297200725548,2.6583448485709558,6.58753199337243,92862
strong,0.9,0.01,0.6464285714285714,10,5.0,0.21202648371519084,1.9434440810347933,4.6718839213880745,9.079545154303274,98.99293799596164,50.93685944555324,10.18737188911064,0.6571456200090005,2.6356110622429956,6.519871428637364,92862
strong,0.9,0.01,0.7071428571428571,10,5.0,0.2744362640119432,1.9740168628849155,4.696547269195994,9.271063506728993,101.28230710277191,51.307721330583504,10.261544266116701,0.654862054769216,2.6251255415594232,6.458468137554659,92862
strong,0.9,0.01,0.7678571428571428,10,5.0,0.32720738054884624,1.9868895863773728,4.720088740805828,9.378295165884186,102.64442843446191,51.66086185071308,10.332172370142636,0.6526291794837096,2.6154895392366386,6.399708911137016,92862
strong,0.9,0.01,0.8285714285714285,10,5.0,0.3723403670290508,1.9923538273635373,4.743014040640818,9.449762177109731,103.61452025401795,52.00608387473527,10.40121677494707,0.650350141098694,2.6058385709609198,6.3425945129933154,92862
strong,0.9,0.01,0.8892857142857142,10,5.0,0.4113647224436593,1.9940466224554871,4.7655281243661145,9.502685260608883,104.38135020723931,52.34649432554549,10.469298865109106,0.6480144400952271,2.596063034715451,6.286623660080215,92862
strong,0.9,0.01,0.95,10,5.0,0.4454353580973569,1.9935679668064414,4.787758897940003,9.544722771725702,105.02841903395547,52.68364098075059,10.536728196150126,0.645636189964,2.5861904713407373,6.231445142545137,92862
