burst_name,delta,sigma,K,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP
weak,0.3,1.0,100,0.1,10,1.0,1.0325074129013956e-14,1.2000109530730143,2.403443577648437,2.884158618271116
weak,0.3,1.0,100,0.16071428571428573,10,1.0,7.773430787949565e-10,1.125183758021565,2.5329295709303956,2.8500112134234126
weak,0.3,1.0,100,0.22142857142857142,10,1.0,7.877198791028661e-07,1.09737568444254,2.716697310389522,2.981237570411909
weak,0.3,1.0,100,0.28214285714285714,10,1.0,3.728078788245437e-05,1.0910129037613727,3.032782417330794,3.308804751608505
weak,0.3,1.0,100,0.34285714285714286,10,1.0,0.00028957598851986344,1.0847150664361032,3.509159172832735,3.8064378252941213
weak,0.3,1.0,100,0.4035714285714286,10,1.0,0.0010150652496710988,1.0749931419168792,4.035645792769224,4.338291550432623
weak,0.3,1.0,100,0.4642857142857143,10,1.0,0.0027315253969766307,1.0665768442239676,4.544529259869067,4.847089676474633
weak,0.3,1.0,100,0.525,10,1.0,0.006377071536729506,1.0596126932972174,5.0177975011428835,5.316921924606058
weak,0.3,1.0,100,0.5857142857142857,10,1.0,0.013270673351501783,1.053601746680177,5.440651383017016,5.732279800224649
weak,0.3,1.0,100,0.6464285714285714,10,1.0,0.02476407065129993,1.0482994615159515,5.802077502953353,6.0823147220198175
weak,0.3,1.0,100,0.7071428571428571,10,1.0,0.04157401097200408,1.0436351682222325,6.0995839515307315,6.365740323341404
weak,0.3,1.0,100,0.7678571428571428,10,1.0,0.0633840420140166,1.0395869573596863,6.338879888489672,6.589816856343486
weak,0.3,1.0,100,0.8285714285714285,10,1.0,0.08907991973157903,1.0361117134310975,6.529748710732552,6.765549124951604
weak,0.3,1.0,100,0.8892857142857142,10,1.0,0.11728487510070795,1.033138332167014,6.682191172554093,6.9036278432336795
weak,0.3,1.0,100,0.95,10,1.0,0.1467607646804433,1.0305861012785018,6.804628539245331,7.0127555969092725
weak,0.3,1.0,200,0.1,10,1.0,5.995204332975845e-15,1.2000109530730354,2.403443577648466,2.884158618271202
weak,0.3,1.0,200,0.16071428571428573,10,1.0,5.10702591327572e-15,1.1251837596484684,2.532929575948371,2.8500112231903887
weak,0.3,1.0,200,0.22142857142857142,10,1.0,9.847678228425139e-14,1.0973771353373254,2.7167069517222875,2.9812520922320016
weak,0.3,1.0,200,0.28214285714285714,10,1.0,6.677391972687019e-11,1.0910644635724451,3.033444763819394,3.30968378401325
weak,0.3,1.0,200,0.34285714285714286,10,1.0,4.255410357423273e-09,1.0850058822601425,3.51476873527897,3.813544752561724
weak,0.3,1.0,200,0.4035714285714286,10,1.0,6.482201686530686e-08,1.0758764732363042,4.054048600914738,4.361655511080722
weak,0.3,1.0,200,0.4642857142857143,10,1.0,5.019511790660403e-07,1.0687459263719337,4.588942923726485,4.904414056085992
weak,0.3,1.0,200,0.525,10,1.0,2.796385363823539e-06,1.0643060316429147,5.108065997229277,5.4365454508812
weak,0.3,1.0,200,0.5857142857142857,10,1.0,1.2928471884610104e-05,1.0629934903067628,5.5990283226805815,5.951730659052651
weak,0.3,1.0,200,0.6464285714285714,10,1.0,5.505094367097563e-05,1.066433749212308,6.042747014410937,6.444189354119735
weak,0.3,1.0,200,0.7071428571428571,10,1.0,0.0002333639870986115,1.078581645631526,6.418934568123607,6.923345009687849
weak,0.3,1.0,200,0.7678571428571428,10,1.0,0.000990919610463159,1.1071306842081412,6.720529956278604,7.44050492873604
weak,0.3,1.0,200,0.8285714285714285,10,1.0,0.0038513791935239627,1.162355636182117,6.958343643253292,8.08806995222747
