burst_name,delta,sigma,K,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP
strong,0.9,0.01,100,0.1,10,5.0,0.0001373509214598334,1.3233937301783139,1.338062367348778,1.7707833475369246
strong,0.9,0.01,100,0.16071428571428573,10,5.0,0.002721441549337622,1.240231964637386,1.9647316511861799,2.436722995735891
strong,0.9,0.01,100,0.22142857142857142,10,5.0,0.008984794036956734,1.1972340829437786,2.539778373097091,3.040709231395338
strong,0.9,0.01,100,0.28214285714285714,10,5.0,0.018544144159145626,1.1704778594454945,3.0712891166920944,3.5948759110440065
strong,0.9,0.01,100,0.34285714285714286,10,5.0,0.03547566105822353,1.151250741295529,3.5306112779931427,4.064618851015961
strong,0.9,0.01,100,0.4035714285714286,10,5.0,0.06665382709719603,1.1364549857340092,3.8798445675598385,4.409268702676389
strong,0.9,0.01,100,0.4642857142857143,10,5.0,0.1137990219804692,1.1254947027999866,4.116001881673665,4.632538314538488
strong,0.9,0.01,100,0.525,10,5.0,0.16983265697177907,1.1176839331015547,4.269784581385573,4.772269624419402
strong,0.9,0.01,100,0.5857142857142857,10,5.0,0.226652969458073,1.1120073055097879,4.373308503550434,4.863151005196161
strong,0.9,0.01,100,0.6464285714285714,10,5.0,0.27981543638058815,1.1076817804891146,4.447728701927621,4.926668047683725
strong,0.9,0.01,100,0.7071428571428571,10,5.0,0.32779705394494507,1.1042266554796318,4.505114296371805,4.974667292036114
strong,0.9,0.01,100,0.7678571428571428,10,5.0,0.37049025851701256,1.101355262227555,4.552103197220363,5.013482810461525
strong,0.9,0.01,100,0.8285714285714285,10,5.0,0.40832782083234553,1.0988932113263565,4.592427812495858,5.046587746658048
strong,0.9,0.01,100,0.8892857142857142,10,5.0,0.44189159609770945,1.096731308742987,4.628292490991337,5.075993280890269
strong,0.9,0.01,100,0.95,10,5.0,0.47175762723008563,1.0947984116605338,4.66106456173845,5.102926078838458
strong,0.9,0.01,200,0.1,10,5.0,6.2121403576753664e-09,1.323713116873749,1.3392343088133407,1.7727620211435682
strong,0.9,0.01,200,0.16071428571428573,10,5.0,1.4328242897043708e-05,1.2482759525475313,1.991573849433672,2.486033743970571
strong,0.9,0.01,200,0.22142857142857142,10,5.0,0.0005809134868847154,1.2313903152442032,2.619860672425263,3.226071059313635
strong,0.9,0.01,200,0.28214285714285714,10,5.0,0.003723646949881143,1.240037467764707,3.1966589331235866,3.9639768487380023
strong,0.9,0.01,200,0.34285714285714286,10,5.0,0.010137038346539895,1.254460429022804,3.7095767418306993,4.653517231049955
strong,0.9,0.01,200,0.4035714285714286,10,5.0,0.01910302325455948,1.2820301527321767,4.1323462149623955,5.297792449110472
strong,0.9,0.01,200,0.4642857142857143,10,5.0,0.03224500927408813,1.3671038875815542,4.418104791516311,6.04000823622464
strong,0.9,0.01,200,0.525,10,5.0,0.06562806703784063,1.6169541744349445,4.581465570587409,7.4080198793912855
strong,0.9,0.01,200,0.5857142857142857,10,5.0,0.1383261699281797,1.8575378210026439,4.643025922665551,8.624596255246958
strong,0.9,0.01,200,0.6464285714285714,10,5.0,0.21202648371519084,1.9434440810347933,4.6718839213880745,9.079545154303274
strong,0.9,0.01,200,0.7071428571428571,10,5.0,0.2744362640119432,1.9740168628849155,4.696547269195994,9.271063506728993
strong,0.9,0.01,200,0.7678571428571428,10,5.0,0.32720738054884624,1.9868895863773728,4.720088740805828,9.378295165884186
strong,0.9,0.01,200,0.8285714285714285,10,5.0,0.3723403670290508,1.9923538273635373,4.743014040640818,9.449762177109731
strong,0.9,0.01,200,0.8892857142857142,10,5.0,0.4113647224436593,1.9940466224554871,4.7655281243661145,9.502685260608883
strong,0.9,0.01,200,0.95,10,5.0,0.4454353580973569,1.9935679668064414,4.787758897940003,9.544722771725702
strong,0.9,0.01,500,0.1,10,5.0,1.5432100042289676e-14,1.3237131537708766,1.3392343417189445,1.7727621141150478
strong,0.9,0.01,500,0.16071428571428573,10,5.0,1.3178347302300608e-13,1.2483720951639266,1.9916741532502045,2.486350435576797
strong,0.9,0.01,500,0.22142857142857142,10,5.0,3.79659459426307e-09,1.2360622487491146,2.6241668238344418,3.2436335453616216
strong,0.9,0.01,500,0.28214285714285714,10,5.0,2.5206715111858458e-06,1.2783517672733993,3.2212124249954703,4.117842596255992
strong,0.9,0.01,500,0.34285714285714286,10,5.0,0.0001526708736784288,1.3938380200522844,3.759840138291892,5.240608134069878
strong,0.9,0.01,500,0.4035714285714286,10,5.0,0.0019546405941875955,1.6195807277216683,4.190909704351561,6.787516588789503
strong,0.9,0.01,500,0.4642857142857143,10,5.0,0.009349508029788178,2.0356169412108533,4.475725911410488,9.110863489483577
strong,0.9,0.01,500,0.525,10,5.0,0.03182193299988645,3.5144153989756046,4.67294184753318,16.42265878748812
strong,0.9,0.01,500,0.5857142857142857,10,5.0,0.11236474622433823,4.590450617925016,4.739358087597745,21.75578926178099
strong,0.9,0.01,500,0.6464285714285714,10,5.0,0.18897691896739444,4.71471103971845,4.768504061803991,22.482118743129547
strong,0.9,0.01,500,0.7071428571428571,10,5.0,0.2532422740748851,4.750299396386285,4.794018185163559,22.773021691247326
strong,0.9,0.01,500,0.7678571428571428,10,5.0,0.30759578348798944,4.760562221099991,4.818150526249105,22.93710537083453
strong,0.9,0.01,500,0.8285714285714285,10,5.0,0.35410323501476215,4.759751395893886,4.841483048611525,23.044255698825292
strong,0.9,0.01,500,0.8892857142857142,10,5.0,0.39432891260127545,4.7530280516340575,4.864282602218238,23.120071659418794
strong,0.9,0.01,500,0.95,10,5.0,0.4294565271959815,4.742766728371068,4.886712347337374,23.17653673207178
strong,0.9,0.01,1000,0.1,10,5.0,3.7636560534792807e-14,1.3237131537715652,1.3392343417190178,1.772762114116067
strong,0.9,0.01,1000,0.16071428571428573,10,5.0,4.263256414560601e-14,1.2483720951657773,1.991674153250619,2.486350435581001
strong,0.9,0.01,1000,0.22142857142857142,10,5.0,6.5503158452884236e-15,1.236062303721201,2.624166837329159,3.243633706297859
strong,0.9,0.01,1000,0.28214285714285714,10,5.0,1.545430450278218e-13,1.2783941405383865,3.2212210025498975,4.117990055038976
strong,0.9,0.01,1000,0.34285714285714286,10,5.0,1.6025203386504927e-09,1.396983720539037,3.7602732638127456,5.253040534324597
strong,0.9,0.01,1000,0.4035714285714286,10,5.0,1.2167058607293058e-06,1.6735672257894816,4.195236188869394,7.02100979013779
strong,0.9,0.01,1000,0.4642857142857143,10,5.0,0.00014520310799537306,2.4400742526528614,4.495896339116471,10.970320899674359
strong,0.9,0.01,1000,0.525,10,5.0,0.006427799664224021,5.923387766225078,4.750380142532004,28.138343621192615
strong,0.9,0.01,1000,0.5857142857142857,10,5.0,0.07751806698295716,8.499410433570787,4.861401211744716,41.31904418087671
strong,0.9,0.01,1000,0.6464285714285714,10,5.0,0.15520029951132663,8.86753499953132,4.8994976125263925,43.44646655919793
strong,0.9,0.01,1000,0.7071428571428571,10,5.0,0.2215018086263586,8.994918653856073,4.929018330183437,44.33611892336551
strong,0.9,0.01,1000,0.7678571428571428,10,5.0,0.2779034566487616,9.049603535034821,4.955517140674697,44.84546543417539
strong,0.9,0.01,1000,0.8285714285714285,10,5.0,0.3263021138449931,9.071555670473336,4.980423297270674,45.18018720371329
strong,0.9,0.01,1000,0.8892857142857142,10,5.0,0.36823559072192336,9.075616396387922,5.004335254152428,45.4174270856079
strong,0.9,0.01,1000,0.95,10,5.0,0.40489677161187987,9.068728912214489,5.027577532558755,45.59373772791557
