burst_name,delta,sigma,alpha,beta,rho,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
medium,0.6,0.1,0.1,0.01,0.7,0.07392478384395951,1.541229671194112,6.281861016612304,9.68179058912049,99.91062206280377,64.82526513092311,12.965053026184597,0.5347018381781239,5.347018381780983,1.1532267538562961,8442
medium,0.6,0.1,0.1,0.019306977288832496,0.7,0.09171123421943872,1.6148488607278177,6.1520822509415,9.93468301403671,102.6724355042835,63.58021360463956,12.716042720927875,0.8877868413319485,4.598269465233308,1.797900972506868,8442
medium,0.6,0.1,0.1,0.0372759372031494,0.7,0.1156876178850409,1.711375527223831,5.999263884391697,10.266993393105729,105.93733984207896,61.901866748047404,12.380373349609453,1.3703021524353254,3.6761038226009433,2.5732206753542783,8442
medium,0.6,0.1,0.1,0.07196856730011521,0.7,0.142909708889977,1.8234364560436367,5.855433701851972,10.677011277903432,109.39947780517531,59.99632037770186,11.999264075540355,1.9493546165749724,2.708619456666363,3.34276185121831,8442
medium,0.6,0.1,0.1,0.13894954943731375,0.7,0.16885024918083769,1.938832061259823,5.7573361957824645,11.162508003834704,112.80218492174183,58.18048255734161,11.636096511468338,2.5679236414030067,1.8480978540786615,3.947881993049994,8442
medium,0.6,0.1,0.1,0.2682695795279725,0.7,0.1902706203004435,2.046341100111309,5.721739011446023,11.708629703232248,115.98877567527919,56.6810565789692,11.336211315793877,3.1724523445827923,1.182561343766529,4.308774995856802,8442
medium,0.6,0.1,0.1,0.517947467923121,0.7,0.20624095637000506,2.138770234434828,5.739009460763175,12.274422609820153,118.83677510805074,55.563133054099886,11.112626610819971,3.7205167507410963,0.7183193240927951,4.448537314346138,8442
medium,0.6,0.1,0.1,1.0,0.7,0.21728678312798422,2.212428933143802,5.785293425437392,12.7995505611643,121.21881571532,54.78992518104134,10.957985036208257,4.17853973445951,0.41785397344595016,4.445621255886283,8442
medium,0.6,0.1,0.1,1.9306977288832496,0.7,0.2244530706012845,2.266639551269035,5.837799961885328,13.23218828600615,123.05197408282729,54.288285057910315,10.857657011582077,4.528501075294595,0.23455256654359719,4.379289346579731,8442
medium,0.6,0.1,0.1,3.727593720314938,0.7,0.22885239833502313,2.3037283097622936,5.883412083484277,13.553782974720288,124.35601926726378,53.98033211654861,10.796066423309734,4.775274832191895,0.1281060971362631,4.3005526473621085,8442
medium,0.6,0.1,0.1,7.196856730011514,0.7,0.2314430380948369,2.3277124726875518,5.917956818121704,13.775301898368227,125.22857383382552,53.798987333361644,10.759797466672348,4.939109406947003,0.0686287026716881,4.232464423708961,8442
medium,0.6,0.1,0.1,13.894954943731374,0.7,0.2329236586932213,2.3425176499718243,5.941731266280341,13.918610362651135,125.78229078708637,53.69534389147474,10.739068778294964,5.042474615292613,0.036289967370981016,4.182166639041442,8442
medium,0.6,0.1,0.1,26.826957952797247,0.7,0.23375073109158484,2.351233411900829,5.956676947668077,14.00553786325663,126.11416180314396,53.63744882358929,10.72748976471787,5.104163128493212,0.019026246425234327,4.149320860363684,8442
medium,0.6,0.1,0.1,51.794746792312075,0.7,0.23420626997352145,2.356140523077224,5.965318755857369,14.055129253748156,126.30223477436972,53.60556110185372,10.721112220370777,5.138988076142703,0.009921832607366817,4.129977870879153,8442
medium,0.6,0.1,0.1,100.0,0.7,0.23445531689982868,2.358818562509822,5.9700373390681065,14.082234894270595,126.40467062491739,53.58812781701222,10.717625563402455,5.157883193750041,0.0051578831937500475,4.119333359653754,8442
medium,0.6,0.1,1.0,0.01,0.7,0.049439839538479746,1.4363521776605324,6.3461957822045925,9.115372131629652,95.57374095333788,66.5392112323067,13.307842246461313,0.05854484997807111,5.854484997807127,0.7791279057534893,8442
medium,0.6,0.1,1.0,0.019306977288832496,0.7,0.050801953568177405,1.4484252871906231,6.228938375736015,9.022151855768131,96.23897171026579,66.44386325022786,13.288772650045525,0.10220561708655074,5.293714057749956,1.315307675117968,8442
medium,0.6,0.1,1.0,0.0372759372031494,0.7,0.05274079072048321,1.465621582825408,6.065649485979289,8.889946800505088,97.1826479155137,66.30814464956646,13.26162892991325,0.1679484298050579,4.50554546461869,2.064877175663002,8442
medium,0.6,0.1,1.0,0.07196856730011521,0.7,0.055108593586901344,1.4868943395922576,5.87303123206598,8.732576895207448,98.34675786075069,66.14239844891719,13.228479689783432,0.2561981400864277,3.559861613168742,2.955460556961398,8442
medium,0.6,0.1,1.0,0.13894954943731375,0.7,0.057547182126084784,1.5096819435114825,5.685482906086172,8.583270883461484,99.59628012290402,65.97169725117435,13.194339450234839,0.36242736827272504,2.60833784449394,3.8348953369984957,8442
medium,0.6,0.1,1.0,0.2682695795279725,0.7,0.0597121065707239,1.5315011153825857,5.53349077217352,8.474547289542992,100.8036370297379,65.8201525400496,13.164030508009937,0.47998026422854834,1.7891714188134786,4.566817808948036,8442
medium,0.6,0.1,1.0,0.517947467923121,0.7,0.06143991429306561,1.550975492522242,5.4286879386150035,8.419761949342961,101.89785838337255,65.69920599948568,13.139841199897132,0.601795515451321,1.1618852349340056,5.0964780497175415,8442
medium,0.6,0.1,1.0,1.0,0.7,0.06272706710325271,1.5676204166286063,5.366923222780203,8.413298418508445,102.85017298936248,65.60910530277259,13.121821060554533,0.7204188727341013,0.7204188727341108,5.437341193977255,8442
medium,0.6,0.1,1.0,1.9306977288832496,0.7,0.06364668592825107,1.5814141664311048,5.337404095318733,8.440646448304438,103.65336769604485,65.54473198502271,13.108946397004564,0.8293092044646799,0.42953860257782406,5.632205795952932,8442
medium,0.6,0.1,1.0,3.727593720314938,0.7,0.06429094285485915,1.5925793348078956,5.328774389260807,8.486495972190326,104.31336354613566,65.49963400016014,13.09992680003207,0.9243193398183335,0.2479667606426405,5.727787099506956,8442
medium,0.6,0.1,1.0,7.196856730011514,0.7,0.06474003142083806,1.6013843595337693,5.331542370540081,8.537848564374482,104.83974800465046,65.46819780054162,13.09363956010834,1.0031189263548008,0.13938292284904288,5.763858590687817,8442
medium,0.6,0.1,1.0,13.894954943731374,0.7,0.06505164580142919,1.608032708697409,5.338733013145187,8.584857308140135,105.23992741458832,65.44638479390024,13.089276958780086,1.0642795437812762,0.0765946739727593,5.769848823465878,8442
medium,0.6,0.1,1.0,26.826957952797247,0.7,0.06526453520569453,1.6127208692996544,5.345954643473537,8.621532619859167,105.52271739438066,65.43148253560166,13.086296507120327,1.1076510466244833,0.041288730856977346,5.764763715398212,8442
medium,0.6,0.1,1.0,51.794746792312075,0.7,0.06540560052162914,1.615764154354743,5.351282674110097,8.646410724646689,105.70588906764986,65.42160796348624,13.084321592697272,1.1354173612626983,0.02192147720724531,5.758339568832785,8442
medium,0.6,0.1,1.0,100.0,0.7,0.06549477052369812,1.617597518118856,5.354601396853069,8.661589930065285,105.8157337908975,65.41536606334141,13.083073212668259,1.1517350769420875,0.01151735076942092,5.753674359620232,8442
medium,0.6,0.1,10.0,0.01,0.7,0.047624318866941295,1.4206653019359083,6.354250243279661,9.027262840445218,94.71049592153233,66.6662976793144,13.333259535862851,0.005935509380680646,5.935509380680704,0.725295574075764,8442
medium,0.6,0.1,10.0,0.019306977288832496,0.7,0.047702879848355084,1.421677938884408,6.237485616226325,8.867695694697783,94.77018648879277,66.66079841061543,13.332159682123043,0.010449357303780585,5.412218156917158,1.2451728036560186,8442
medium,0.6,0.1,10.0,0.0372759372031494,0.7,0.04780405593402959,1.4230678394578131,6.070540395129431,8.638790804438218,94.85275974037212,66.65371608461821,13.330743216923635,0.017381695926915918,4.662980257796871,1.9888948293525783,8442
medium,0.6,0.1,10.0,0.07196856730011521,0.7,0.04791663005380964,1.4247597135443233,5.868418818960711,8.361086715460578,94.95430206043977,66.6458358962336,13.329167179246697,0.02701395297787364,3.7535765947963426,2.890242272979086,8442
medium,0.6,0.1,10.0,0.13894954943731375,0.7,0.048026808244300834,1.4266326815799746,5.664148861323428,8.080659878898,95.06812471426804,66.63812342289923,13.327624684579785,0.03932452459823545,2.8301296950931607,3.8029210957288186,8442
medium,0.6,0.1,10.0,0.2682695795279725,0.7,0.048127740297560284,1.428624415712018,5.487216873410899,7.839171999661772,95.19075655949175,66.63105817917106,13.326211635834214,0.054277596403111784,2.0232482750603302,4.596262492702343,8442
medium,0.6,0.1,10.0,0.517947467923121,0.7,0.048221743350145285,1.4307607956707642,5.3503517185162055,7.655073481902686,95.32369110505394,66.62447796549012,13.324895593098006,0.07195698974014772,1.3892719666858022,5.213875450476044,8442
medium,0.6,0.1,10.0,1.0,0.7,0.04831580056828122,1.4331148544375083,5.252935635393119,7.5280600884860105,95.4710934057349,66.6178939602206,13.323578792044108,0.09253398021185583,0.9253398021185655,5.65854742562547,8442
medium,0.6,0.1,10.0,1.9306977288832496,0.7,0.0484165992898854,1.4357613309225705,5.188379036447801,7.449273990701058,95.637265492117,66.6108380497083,13.322167609941667,0.11623258613008514,0.6020237367623436,5.959576067165904,8442
medium,0.6,0.1,10.0,3.727593720314938,0.7,0.04852752900510493,1.4387259331327247,5.14859173495718,7.407412448195703,95.82356830775649,66.60307296964294,13.32061459392858,0.14300062265385735,0.38362716911588973,6.152757614301673,8442
medium,0.6,0.1,10.0,7.196856730011514,0.7,0.048647322320284236,1.4419210028728873,5.126106529176168,7.391440667382955,96.02427849600238,66.59468743758039,13.31893748751608,0.17181122033252177,0.23873091653479206,6.270520375616605,8442
medium,0.6,0.1,10.0,13.894954943731374,0.7,0.04877005039790172,1.4451091880929763,5.114772482095022,7.391404708880635,96.22417981114518,66.58609647214716,13.31721929442945,0.20018182343447596,0.14406799032104067,6.338530891815034,8442
medium,0.6,0.1,10.0,26.826957952797247,0.7,0.04888642288572709,1.4479537360286383,5.109771576160664,7.398712843954778,96.40179201591258,66.57795039799939,13.315590079599863,0.2246962609411916,0.08375763712626375,6.375956022332681,8442
medium,0.6,0.1,10.0,51.794746792312075,0.7,0.0489864133139688,1.4501865082425267,5.1077908224372575,7.40724933762351,96.5402950797196,66.57095106802247,13.31419021360451,0.24293986071594176,0.04690434373394855,6.3959655819456,8442
medium,0.6,0.1,10.0,100.0,0.7,0.04906263999376437,1.4517425206869539,5.107055394716571,7.414129472013741,96.6361340021599,66.56561520043678,13.313123040087335,0.2548996336229603,0.025489963362296236,6.406487362927408,8442
