burst_name,delta,sigma,rho,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
medium,0.6,0.1,0.16071428571428573,6.590005208195748e-10,1.1833021002767243,2.1327228649114476,2.5236554453579085,19.01735517048632,16.071428560837475,3.214285712167519,0.1890885609402541,3.7817712188076813,12.814854508084546,8442
medium,0.6,0.1,0.22142857142857142,5.7465286307234464e-08,1.143467802086505,2.8091600668656613,3.2121840873680574,25.3196427340577,22.1428558704115,4.428571174082318,0.23407666464128762,4.6815332928274564,10.655818868448938,8442
medium,0.6,0.1,0.28214285714285714,1.1765886953618576e-06,1.1212637490436927,3.47238373711611,3.8934580071971583,31.635618554434913,28.214252517676066,5.64285050353521,0.2763618369219063,5.527236738439295,8.553550921103588,8442
medium,0.6,0.1,0.34285714285714286,1.1093493087144246e-05,1.1089733473310779,4.118139465964069,4.566906908346391,38.021521540899926,34.28533393737984,6.857066787475872,0.31507803099387766,6.3015606198725695,6.52629456165768,8442
medium,0.6,0.1,0.4035714285714286,6.742967039274905e-05,1.1053958045211003,4.732887907319937,5.231714436020109,44.60760831758494,40.35442158830217,8.07088431766037,0.34748100790271463,6.949620158052419,4.632014516384496,8442
medium,0.6,0.1,0.4642857142857143,0.00033026789645107524,1.1143465569792355,5.287912890668891,5.892567523322995,51.72043147541907,46.41323756195069,9.282647512390097,0.36782297727798635,7.356459545558651,2.9930699647732655,8442
medium,0.6,0.1,0.525,0.0015532691315264247,1.1492560089036994,5.739535977752455,6.596196210750978,60.24222251359478,52.41845337059509,10.483690674118995,0.3678342051944874,7.356684103889267,1.7917910167972506,8442
medium,0.6,0.1,0.5857142857142857,0.007409713305219556,1.2384202888604958,6.061241268288971,7.506364162327586,71.99857418902255,58.13743107783739,11.627486215567437,0.34566875508108247,6.913375101621279,1.1134699277302018,8442
medium,0.6,0.1,0.6464285714285714,0.02829182057472801,1.381407753220517,6.267405552154008,8.657842622322862,86.7717369784223,62.813993027133925,12.562798605426769,0.3159015275946948,6.3180305518937105,0.8032693150848256,8442
medium,0.6,0.1,0.7071428571428571,0.06702556438593654,1.499664320354286,6.391923441043248,9.585739522968753,98.9397848688688,65.97462080413763,13.194924160827476,0.29275203980888287,5.8550407961770645,0.6572830031865765,8442
medium,0.6,0.1,0.7678571428571428,0.1116142991294965,1.566613668156122,6.475667736760487,10.1448695868466,106.86706929975408,68.2153306025568,13.643066120511238,0.27541312278700686,5.508262455738842,0.5732583009629131,8442
medium,0.6,0.1,0.8285714285714285,0.15472899885235347,1.60299789953864,6.541356820596143,10.485781243548374,112.26874726296454,70.036740095091,14.0073480190182,0.26083100009528676,5.2166200019054845,0.5152009789810281,8442
medium,0.6,0.1,0.8892857142857142,0.19436231861527598,1.623530905249049,6.597878835982611,10.71186019930639,116.31658602362916,71.64420809457042,14.32884161891413,0.24766476205840093,4.953295241167792,0.47019837785967744,8442
medium,0.6,0.1,0.95,0.23025472691175042,1.6353049301490528,6.649037602768608,10.873203972553943,119.58298280381415,73.12580094338402,14.625160188676787,0.23533777881596674,4.70675557631914,0.4327464561881058,8442
strong,0.9,0.01,0.1,1.369034108300582e-09,1.2774984753257599,1.508960365165491,1.9276945658259166,12.774984735768212,9.999999986309662,1.9999999972619578,0.15487738017864575,3.097547603575425,14.747575018983971,8442
strong,0.9,0.01,0.16071428571428573,2.5615537359025e-06,1.1919373504838655,2.245506194004084,2.676502703376337,19.156086920447567,16.07138740360068,3.214277480720174,0.21216393400677427,4.243278680138332,12.33027990513472,8442
strong,0.9,0.01,0.22142857142857142,8.925356892131031e-05,1.1573193552582075,2.9584730185317225,3.423898086355936,25.624069908311494,22.140880813830815,4.428176162766141,0.2646555145845099,5.2931102916885,10.01405803096085,8442
strong,0.9,0.01,0.28214285714285714,0.0006202768134639935,1.1447336320936432,3.641311008360656,4.16833117618326,32.27780816027146,28.196785047048415,5.639357009409725,0.3111919946565346,6.223839893131833,7.825611102801907,8442
strong,0.9,0.01,0.34285714285714286,0.0020592751097272544,1.1466217453974523,4.272384931635373,4.898809467321526,39.23178979806419,34.215110567666166,6.843022113533283,0.34771601545677094,6.9543203091374215,5.854941561872524,8442
strong,0.9,0.01,0.4035714285714286,0.005027119292901894,1.1695930664836847,4.794135384985765,5.607187506063441,46.96414722693461,40.15426268567892,8.030852537135843,0.3630912135410661,7.2618242708223,4.34423197850079,8442
strong,0.9,0.01,0.4642857142857143,0.012085755696682687,1.2577375712774896,5.133512474383906,6.456611511654311,57.68921146209365,45.867447056939284,9.173489411387912,0.3446304274552689,6.89260854910566,3.589271612051159,8442
strong,0.9,0.01,0.525,0.04129209929250288,1.5229426862186684,5.3128775909783466,8.091208069955531,76.6530022441324,50.33216478714311,10.066432957428646,0.3126394054602517,6.252788109205186,3.3681395279059165,8442
strong,0.9,0.01,0.5857142857142857,0.11438388158267354,1.779051398937963,5.372507869579224,9.557967641180134,92.28260052869409,51.87180122158576,10.374360244317119,0.30115266051814144,6.023053210362534,3.301433884802206,8442
strong,0.9,0.01,0.6464285714285714,0.18996426349674211,1.871789241167554,5.395395986746352,10.09904415983042,98.01254569828266,52.36302439538866,10.472604879077721,0.2982781416996186,5.965562833991559,3.2635541452311014,8442
strong,0.9,0.01,0.7071428571428571,0.2541937072974768,1.905753859475163,5.4134528646621805,10.316708689916828,100.50785632366397,52.7391592696779,10.547831853935573,0.2961857717922037,5.923715435843445,3.2322669384287774,8442
strong,0.9,0.01,0.7678571428571428,0.30857855709503457,1.920796054922806,5.4301806681637785,10.430269604927073,101.97753916481746,53.09128936591646,10.618257873183289,0.29419078613108385,5.883815722621595,3.2037356180640324,8442
strong,0.9,0.01,0.8285714285714285,0.3551281765686656,1.9278832600387492,5.44622458372052,10.499685205366296,103.01111487043917,53.43223679859574,10.686447359719153,0.29222792239632484,5.844558447926056,3.1767662699584656,8442
strong,0.9,0.01,0.8892857142857142,0.3953981204974494,1.930909013494411,5.461837739099504,10.546311720671168,103.81799052074076,53.766381427190574,10.753276285438115,0.2902815864388413,5.805631728776385,3.1508103993466583,8442
strong,0.9,0.01,0.95,0.4305692107165626,1.9315899996899626,5.477153813304503,10.579615532542723,104.49114771906675,54.09592498192603,10.819184996385191,0.288345255345759,5.766905106914821,3.1255646413542286,8442
