burst_name,delta,sigma,alpha,beta,rho,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
strong,0.9,0.01,0.1,100.0,0.7,0.2849030074997796,2.142610443593418,4.53748203170916,9.722056388757528,107.25219990192412,50.05678947501495,10.01135789500298,2.055821909657388,0.002055821909657348,7.930764373429975,8442
strong,0.9,0.01,1.0,0.01,0.7,0.229489398328253,1.8533195483318268,5.116952814762283,9.483348679490504,99.96016521926069,53.935742117021775,10.787148423404352,0.0462703697410994,4.6270369741096875,4.539544232744861,8442
strong,0.9,0.01,1.0,0.019306977288832496,0.7,0.23022903225562308,1.857287011158051,4.820624769748225,8.953283770520148,100.07799339707265,53.88396774210587,10.776793548421164,0.06374376306858807,3.3015920677266006,5.857870620783647,8442
strong,0.9,0.01,1.0,0.0372759372031494,0.7,0.23081159478993996,1.860972909414865,4.58722565525205,8.536702673796919,100.20071490323522,53.843188364703686,10.768637672940724,0.08376607940417923,2.247189090046522,6.9004071576085755,8442
strong,0.9,0.01,1.0,0.07196856730011521,0.7,0.23122348221779454,1.8644891793622158,4.425163151688467,8.250668813235546,100.33628491268708,53.81435624475387,10.762871248950761,0.1078299933693053,1.4982928994492999,7.631005858230633,8442
strong,0.9,0.01,1.0,0.13894954943731375,0.7,0.231501772019022,1.8681532144965098,4.3210858030565475,8.072450333095322,100.49707044562653,53.794875958667944,10.758975191733576,0.13799734297134472,0.9931471064870073,8.109880358808072,8442
strong,0.9,0.01,1.0,0.2682695795279725,0.7,0.23168991144580442,1.8722473990042143,4.2580859130861475,7.972190275512025,100.69265954469937,53.78170619879318,10.756341239758608,0.17579108975775629,0.6552777622683171,8.412589908215317,8442
strong,0.9,0.01,1.0,0.517947467923121,0.7,0.23182020898474998,1.8768529392507456,4.222809848428173,7.925593075919411,100.92323490479872,53.77258537106699,10.754517074213387,0.22097548309731493,0.4266368633548562,8.597870579334442,8442
strong,0.9,0.01,1.0,1.0,0.7,0.23191243324613053,1.8817843409319928,4.205955368722237,7.914700951520351,101.1762608907382,53.76612967277035,10.75322593455407,0.2708878827474172,0.2708878827474154,8.704998299951098,8442
strong,0.9,0.01,1.0,1.9306977288832496,0.7,0.23197798701793126,1.8865951704861836,4.200532768160485,7.924704833880532,101.42626343633239,53.7615409087443,10.752308181748855,0.3203584723036332,0.1659288595573836,8.761404486390127,8442
