sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
delta,0.33928571428571425,0.1,1.0,0.005,0.7,10,100.0,0.0026036870301473503,1.1943204006529962,5.795431318054268,6.921601853735495,83.38475348811849,69.81774190788985,13.963548381577946,0.5254180642724493,1.5420577058329197,3.9689758483166857,92862
delta,0.40714285714285714,0.1,1.0,0.005,0.7,10,100.0,0.008524933303953097,1.2796641882398074,5.726977621087582,7.328608168556584,88.81285954685265,69.40325466872348,13.880650933744691,0.5372277332758469,1.3570916886589726,4.2250296443204896,92862
delta,0.475,0.1,1.0,0.005,0.7,10,100.0,0.020900081686864747,1.3786344091725848,5.641789226600417,7.77796475709052,94.4874586183192,68.5369942819197,13.707398856383922,0.5492095953596658,1.24824716258783,4.495144385668583,92862
delta,0.5428571428571428,0.1,1.0,0.005,0.7,10,100.0,0.0401552609160547,1.4732952819232894,5.536833286410324,8.15739035766415,98.98943078298907,67.18913173587642,13.437826347175326,0.5633656269540466,1.2086863130005294,4.790121712870097,92862
delta,0.6107142857142857,0.1,1.0,0.005,0.7,10,100.0,0.0646161633015393,1.5543960177035554,5.415134510889798,8.417263519056192,101.77698375518564,65.47686856889253,13.095373713778443,0.5800637498038391,1.2121368748875465,5.112425661530171,92862
delta,0.6785714285714285,0.1,1.0,0.005,0.7,10,100.0,0.09230539064952714,1.6223072310851208,5.281846010764825,8.568776976741875,103.07916698563842,63.53862265453341,12.707724530906757,0.5985713402027022,1.236523614487876,5.457180514402665,92862
delta,0.7464285714285713,0.1,1.0,0.005,0.7,10,100.0,0.12186587608641464,1.6808903187620596,5.141026505977714,8.641501682397077,103.32330032226695,61.4693886739513,12.293877734790284,0.6179527159990722,1.269732845230832,5.8184367039798115,92862
delta,0.8142857142857143,0.1,1.0,0.005,0.7,10,100.0,0.15252612709922464,1.733860172048845,4.99507530521296,8.660762128093479,102.8580836552246,59.32317110305419,11.864634220610856,0.6373424118624373,1.3058413166287706,6.1921820508979355,92862
delta,0.8821428571428571,0.1,1.0,0.005,0.7,10,100.0,0.1838648508321149,1.7839306540290998,4.845019176159379,8.643178227709532,101.914995730184,57.129460441751874,11.425892088350363,0.6557417413962812,1.3412348566911192,6.577131313562237,92862
delta,0.95,0.1,1.0,0.005,0.7,10,100.0,0.21564932498996103,1.8329079239458042,4.690425817140213,8.59711864691627,100.63497971646989,54.90454725070275,10.980909450140542,0.6713222058413374,1.3716144436944622,6.976153900323659,92862
delta,0.0,0.1,10.0,0.005,0.7,10,1000.0,6.061830060133389e-08,1.0445564662388385,5.892110337870759,6.1546419532156085,73.11894820437205,69.99999575671896,13.999999151343681,0.17082599701943138,2.5008577521375086,3.3283170994993787,92862
delta,0.06785714285714285,0.1,10.0,0.005,0.7,10,1000.0,3.7544689568402845e-07,1.0458266787963562,5.831543071959619,6.098783323205428,73.20784003007819,69.99997371871716,13.999994743743287,0.1712036858575634,2.231749412195204,3.5970521582039465,92862
delta,0.1357142857142857,0.1,10.0,0.005,0.7,10,1000.0,4.549700129086176e-06,1.0508763963200694,5.764100468808538,6.057357128688339,73.5610130603316,69.99968152099103,13.99993630419804,0.16951482431981826,1.935697969344084,3.894850902138059,92862
delta,0.20357142857142857,0.1,10.0,0.005,0.7,10,1000.0,4.300671798107558e-05,1.0625997922034147,5.6910276731723926,6.047284822936867,74.37878652916784,69.99698952974143,13.999397905948033,0.16650795528896184,1.6176852823044985,4.216408856458506,92862
delta,0.2714285714285714,0.1,10.0,0.005,0.7,10,1000.0,0.00030309729889499426,1.0867018995470106,5.614910727152356,6.101734152983352,76.04607661955892,69.97878318907749,13.99575663781532,0.16258330546815605,1.2928793875411568,4.5487806691753665,92862
delta,0.33928571428571425,0.1,10.0,0.005,0.7,10,1000.0,0.0015563880519788853,1.1310742988030338,5.537264482802153,6.2630575421723895,79.05197357949355,69.89105283636165,13.978210567272217,0.1578937967018363,0.985743763122106,4.87815187290384,92862
delta,0.40714285714285714,0.1,10.0,0.005,0.7,10,1000.0,0.005717643315252041,1.1997833920334147,5.455499748679976,6.545417993708703,83.50464209795454,69.59976496793256,13.919952993586538,0.1526517051147057,0.729124927133904,5.198270374164853,92862
delta,0.475,0.1,10.0,0.005,0.7,10,1000.0,0.01520310266837721,1.284746917299852,5.362583992515398,6.88956325314569,88.5650344609286,68.93578281321383,13.787156562642714,0.14732343674190423,0.5474502293861785,5.518069771229204,92862
delta,0.5428571428571428,0.1,10.0,0.005,0.7,10,1000.0,0.03090822263778914,1.3701880949275915,5.253060223173833,7.197680579730463,92.94866113637484,67.83642441535501,13.567284883071054,0.14231816758074053,0.4367416183031498,5.853655331045056,92862
delta,0.6107142857142857,0.1,10.0,0.005,0.7,10,1000.0,0.05174899423422896,1.4458686776609202,5.127374228574902,7.413509795742274,95.97324994580391,66.37757040360425,13.27551408072081,0.1376336213426778,0.3736854600114903,6.213166837925021,92862
delta,0.6785714285714285,0.1,10.0,0.005,0.7,10,1000.0,0.07606236266765842,1.5101718130159627,4.989263705731799,7.534645416099731,97.67132038187118,64.67563461326422,12.935126922652925,0.13294364436383713,0.3365894194054506,6.595340013577787,92862
delta,0.7464285714285713,0.1,10.0,0.005,0.7,10,1000.0,0.10256244058732489,1.565470908332672,4.842328108296898,7.580523782140374,98.3438673913937,62.82062915888759,12.564125831777519,0.12777629290307407,0.31219190497494786,6.9959059703444595,92862
delta,0.8142857142857143,0.1,10.0,0.005,0.7,10,1000.0,0.13044575882292841,1.61464972944685,4.6888726703796175,7.570886988639178,98.28178641791423,60.868796882394925,12.173759376478998,0.12148210597190784,0.2930465175795093,7.411711999969585,92862
delta,0.8821428571428571,0.1,10.0,0.005,0.7,10,1000.0,0.15923403390282087,1.659976437793261,4.529743628365021,7.519267692330089,97.69561853938622,58.85361762680245,11.770723525360458,0.11285975437702948,0.2737467722100492,7.842669948052465,92862
delta,0.95,0.1,10.0,0.005,0.7,10,1000.0,0.18863485380414025,1.7028883391467518,4.363442575086879,7.43045547965192,96.71649723729207,56.795560233710205,11.359112046742034,0.09864883421132674,0.24626149913130707,8.295977619915332,92862
