burst_name,delta,sigma,K,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP
weak,0.3,1.0,100,0.1,10,5.0,1.2037482122195797e-11,1.2002804322152645,2.32976336065859,2.7963693734905792
weak,0.3,1.0,100,0.16071428571428573,10,5.0,5.373352907067641e-08,1.1302372045160811,2.415718961881411,2.7303354463733354
weak,0.3,1.0,100,0.22142857142857142,10,5.0,8.845789017275507e-06,1.1172303876408327,2.6048119107116303,2.910175020735813
weak,0.3,1.0,100,0.28214285714285714,10,5.0,0.00016622113070707822,1.1229410906799284,2.9453314069120964,3.3074336624917176
weak,0.3,1.0,100,0.34285714285714286,10,5.0,0.0009121600729370405,1.1218213873016034,3.4020162693747134,3.816454610932566
weak,0.3,1.0,100,0.4035714285714286,10,5.0,0.002704660402655379,1.1127767228641061,3.9000777568548246,4.339915745188105
weak,0.3,1.0,100,0.4642857142857143,10,5.0,0.006092358100256878,1.1022328462042685,4.386865804322761,4.8353475814148545
weak,0.3,1.0,100,0.525,10,5.0,0.011978968121413525,1.0926686992125947,4.840666050946773,5.289244277210578
weak,0.3,1.0,100,0.5857142857142857,10,5.0,0.021406555094873547,1.084097221435473,5.2497737450284605,5.691265130150251
weak,0.3,1.0,100,0.6464285714285714,10,5.0,0.03520199787013667,1.0763173043057253,5.606236251872428,6.034089089916365
weak,0.3,1.0,100,0.7071428571428571,10,5.0,0.053607376073458335,1.0692684159164576,5.907486979858545,6.316689245000445
weak,0.3,1.0,100,0.7678571428571428,10,5.0,0.07614146787877107,1.0629505561030748,6.156665984632279,6.544231532105766
weak,0.3,1.0,100,0.8285714285714285,10,5.0,0.10181419280665827,1.0573497043216546,6.360607145374857,6.725386084468309
weak,0.3,1.0,100,0.8892857142857142,10,5.0,0.12948906311989117,1.0524192155490544,6.5272705986461155,6.869425003103552
weak,0.3,1.0,100,0.95,10,5.0,0.1581528338062067,1.0480916653849275,6.664026282838501,6.984510404949132
weak,0.3,1.0,200,0.1,10,5.0,7.66053886991358e-15,1.200280432246687,2.3297633606877177,2.796369373598748
weak,0.3,1.0,200,0.16071428571428573,10,5.0,1.432187701766452e-14,1.1302373328839908,2.4157192243597554,2.730336053136953
weak,0.3,1.0,200,0.22142857142857142,10,5.0,1.6021739490668097e-11,1.1172485549653535,2.6048804514419683,2.9102989202310368
weak,0.3,1.0,200,0.28214285714285714,10,5.0,2.6317452661572815e-09,1.1232162841445397,2.9469951355513793,3.310112925546054
weak,0.3,1.0,200,0.34285714285714286,10,5.0,8.55408528455115e-08,1.1230740612733867,3.412088605757091,3.8320282078922636
weak,0.3,1.0,200,0.4035714285714286,10,5.0,1.0010646740443718e-06,1.1161303326701988,3.9299011954555336,4.386281928644797
weak,0.3,1.0,200,0.4642857142857143,10,5.0,6.347973504294835e-06,1.1093635434182947,4.451024051445755,4.937803813551916
weak,0.3,1.0,200,0.525,10,5.0,2.8176175756233768e-05,1.1060926887526195,4.9585767863638335,5.484645530015496
weak,0.3,1.0,200,0.5857142857142857,10,5.0,0.00010098580567796667,1.1075433447334166,5.443389830393732,6.02879017944214
weak,0.3,1.0,200,0.6464285714285714,10,5.0,0.0003172943350348012,1.1154569869574764,5.893847871458614,6.574333788282961
weak,0.3,1.0,200,0.7071428571428571,10,5.0,0.000924180977728728,1.1331102537936089,6.296044636818473,7.13411273632127
weak,0.3,1.0,200,0.7678571428571428,10,5.0,0.002572753692131946,1.1657940387051366,6.6377327939642,7.738229321721056
weak,0.3,1.0,200,0.8285714285714285,10,5.0,0.0067986970283913095,1.2197154870802467,6.913188802556494,8.432123447587902
weak,0.3,1.0,200,0.8892857142857142,10,5.0,0.01633845268960976,1.2974575216688662,7.123776987515983,9.242798035144189
weak,0.3,1.0,200,0.95,10,5.0,0.03406208749368478,1.3926543814164665,7.275047114450781,10.131626238951101
weak,0.3,1.0,500,0.1,10,5.0,1.0436096431476471e-14,1.200280432246814,2.3297633606877373,2.796369373599067
weak,0.3,1.0,500,0.16071428571428573,10,5.0,1.454392162258955e-14,1.130237332884139,2.415719224359862,2.7303360531374317
